Experiment Began: Experiment Ended: 11:08:08

Total Trials = 120
Input Trial Order File: AudioVisCircMotionRatchet_TrialOrderList8.txt
In Phase Sound File: 10s_whiteNoiseBursts_In_Phase_200.wav
Out Phase Sound File: 10s_whiteNoiseBursts_Out_Phase_200.wav
Visual Movement Timing: 200 msec
Adaptor Time: 10 sec
ISI: 150 msec
ITI: 1 sec

Trial Rotation Sound RT ElapsedTime
001 counterClockwise 3 5.784507 15.968088
002 counterClockwise 2 4.383747 31.519899
003 counterClockwise 3 4.916095 47.603243
004 counterClockwise 3 6.800224 65.586773
005 counterClockwise 1 2.883732 79.637312
006 counterClockwise 2 3.017770 93.838772
007 counterClockwise 3 3.583359 108.588920
008 counterClockwise 2 2.833820 122.590199
009 counterClockwise 1 2.683679 136.457676
010 counterClockwise 3 4.350577 151.992067
011 counterClockwise 2 3.267118 172.026609
012 counterClockwise 1 4.267347 187.477701
013 counterClockwise 2 4.535630 203.197004
014 counterClockwise 3 4.833388 219.213568
015 counterClockwise 3 3.866760 234.263151
016 counterClockwise 1 4.733666 250.163869
017 counterClockwise 1 3.834717 265.182870
018 counterClockwise 3 5.850502 282.217000
019 counterClockwise 2 5.634854 299.035714
020 counterClockwise 1 4.467301 314.669551
021 counterClockwise 2 4.350833 335.970900
022 counterClockwise 1 4.985831 352.140573
023 counterClockwise 3 3.766667 367.090738
024 counterClockwise 2 4.866352 383.140048
025 counterClockwise 1 4.300072 398.623810
026 counterClockwise 2 3.417042 413.191328
027 counterClockwise 1 3.467211 427.808672
028 counterClockwise 1 3.866790 442.859396
029 counterClockwise 3 4.683627 458.693112
030 counterClockwise 2 3.667139 473.510865
031 counterClockwise 2 3.333347 496.594784
032 counterClockwise 1 4.217488 511.979273
033 counterClockwise 1 4.183669 527.346243
034 counterClockwise 3 2.716495 541.246701
035 counterClockwise 1 3.868124 556.265251
036 counterClockwise 3 3.416262 570.865815
037 counterClockwise 1 2.333645 584.382718
038 counterClockwise 3 3.433877 598.983313
039 counterClockwise 2 4.384019 614.550935
040 counterClockwise 3 3.133724 628.868353
041 counterClockwise 2 3.366824 676.736883
042 counterClockwise 3 2.166911 690.070958
043 counterClockwise 2 3.517063 704.771889
044 counterClockwise 3 4.850599 720.806250
045 counterClockwise 2 3.533367 735.506540
046 counterClockwise 1 4.183647 750.875872
047 counterClockwise 2 4.650054 766.692045
048 counterClockwise 1 4.783305 782.658618
049 counterClockwise 2 3.483393 797.326124
050 counterClockwise 3 4.234298 812.744611
051 counterClockwise 1 4.300312 829.578745
052 counterClockwise 2 4.216733 844.979221
053 counterClockwise 2 4.533963 860.680451
054 counterClockwise 3 3.817202 875.682287
055 counterClockwise 1 3.950590 890.816842
056 counterClockwise 1 2.016866 904.019307
057 counterClockwise 3 4.832890 920.035605
058 counterClockwise 3 4.350652 935.569502
059 counterClockwise 1 3.166784 949.919671
060 counterClockwise 2 5.667086 966.753995
061 counterClockwise 3 2.900121 982.038378
062 counterClockwise 3 3.800383 997.022671
063 counterClockwise 1 4.400811 1012.607304
064 counterClockwise 3 4.334376 1028.125062
065 counterClockwise 3 2.950354 1042.259385
066 counterClockwise 1 3.300188 1056.743169
067 counterClockwise 2 3.552079 1071.479006
068 counterClockwise 3 3.549754 1086.212189
069 counterClockwise 2 3.633903 1101.029394
070 counterClockwise 3 3.550515 1115.763565
071 counterClockwise 2 3.350473 1182.315756
072 counterClockwise 3 3.967532 1197.450250
073 counterClockwise 2 3.917256 1212.534227
074 counterClockwise 2 4.867257 1228.585059
075 counterClockwise 3 1.983219 1241.752593
076 counterClockwise 2 3.617456 1256.555699
077 counterClockwise 1 4.166718 1271.905154
078 counterClockwise 1 5.483615 1288.571497
079 counterClockwise 3 3.783674 1303.539006
080 counterClockwise 1 4.683461 1319.406483
081 counterClockwise 2 3.433476 1334.890735
082 counterClockwise 1 3.833798 1349.908517
083 counterClockwise 1 2.767095 1363.859078
084 counterClockwise 2 4.267331 1379.310394
085 counterClockwise 1 3.200362 1393.694400
086 counterClockwise 3 3.534508 1408.412895
087 counterClockwise 1 3.967240 1423.549019
088 counterClockwise 2 2.833789 1437.565619
089 counterClockwise 1 3.200615 1451.948579
090 counterClockwise 2 0.000000 1500.643635
091 counterClockwise 1 4.616896 1542.250054
092 counterClockwise 3 2.699910 1556.133861
093 counterClockwise 1 3.100226 1570.401467
094 counterClockwise 3 3.917386 1585.502610
095 counterClockwise 1 2.717515 1599.403460
096 counterClockwise 1 4.783895 1615.370803
097 counterClockwise 3 3.652125 1630.206729
098 counterClockwise 2 4.099846 1645.490385
099 counterClockwise 3 4.067033 1660.740114
100 counterClockwise 3 4.216688 1676.123483
101 counterClockwise 1 2.600602 1691.058431
102 counterClockwise 1 4.367179 1706.609151
103 counterClockwise 3 5.850365 1723.626666
104 counterClockwise 2 3.916794 1738.727363
105 counterClockwise 2 2.650489 1752.561593
106 counterClockwise 1 1.917137 1765.662675
107 counterClockwise 2 3.833791 1780.680389
108 counterClockwise 2 4.819226 1796.683644
109 counterClockwise 3 2.783611 1810.650415
110 counterClockwise 3 3.900172 1825.733444
111 counterClockwise 2 3.800352 1877.235199
112 counterClockwise 1 4.166915 1892.569250
113 counterClockwise 2 6.166882 1909.903383
114 counterClockwise 2 3.733793 1924.821073
115 counterClockwise 1 2.433705 1938.438433
116 counterClockwise 3 2.000287 1951.622968
117 counterClockwise 1 2.183922 1964.990597
118 counterClockwise 2 3.785556 1979.959857
119 counterClockwise 3 2.733204 1993.876399
120 counterClockwise 2 7.667007 2012.726227
