Experiment Began: Experiment Ended: 17:19:24

Total Trials = 120
Input Trial Order File: AudioVisCircMotionRatchet_TrialOrderList6.txt
In Phase Sound File: 10s_whiteNoiseBursts_In_Phase_200.wav
Out Phase Sound File: 10s_whiteNoiseBursts_Out_Phase_200.wav
Visual Movement Timing: 200 msec
Adaptor Time: 10 sec
ISI: 150 msec
ITI: 1 sec

Trial Rotation Sound RT ElapsedTime
001 counterClockwise 3 4.050337 14.235375
002 counterClockwise 1 3.867071 29.268583
003 counterClockwise 2 2.300093 42.751228
004 counterClockwise 1 2.350204 56.268179
005 counterClockwise 1 2.467656 69.919668
006 counterClockwise 2 2.133568 83.236861
007 counterClockwise 3 2.516810 96.937490
008 counterClockwise 1 2.300620 110.421839
009 counterClockwise 1 2.850680 124.455990
010 counterClockwise 3 2.500304 138.140181
011 counterClockwise 3 1.850179 152.840726
012 counterClockwise 1 3.000237 167.024551
013 counterClockwise 2 2.600578 180.810269
014 counterClockwise 1 2.150019 194.143033
015 counterClockwise 1 2.250295 207.575965
016 counterClockwise 2 2.450024 221.209331
017 counterClockwise 3 2.984360 235.360637
018 counterClockwise 3 2.783806 249.311471
019 counterClockwise 1 1.716754 262.211844
020 counterClockwise 3 2.317215 275.712705
021 counterClockwise 2 1.700589 289.963221
022 counterClockwise 2 2.617280 303.763769
023 counterClockwise 3 3.317155 318.266102
024 counterClockwise 2 2.501720 331.951304
025 counterClockwise 3 2.416806 345.551820
026 counterClockwise 2 2.366687 359.101203
027 counterClockwise 1 3.566889 373.850681
028 counterClockwise 3 3.500204 388.534612
029 counterClockwise 2 2.399877 402.118377
030 counterClockwise 2 2.267564 415.569906
031 counterClockwise 2 2.867038 430.903705
032 counterClockwise 3 2.500496 444.571338
033 counterClockwise 1 2.100380 457.855503
034 counterClockwise 2 4.867391 473.906325
035 counterClockwise 1 5.300687 490.390431
036 counterClockwise 1 2.418972 503.992980
037 counterClockwise 3 2.516611 517.692748
038 counterClockwise 1 2.583189 531.442212
039 counterClockwise 2 2.867008 545.492554
040 counterClockwise 3 4.451130 561.128615
041 counterClockwise 2 3.533381 576.762260
042 counterClockwise 1 2.250345 590.196550
043 counterClockwise 3 3.383807 604.747597
044 counterClockwise 3 3.367841 619.298864
045 counterClockwise 2 4.400861 634.883265
046 counterClockwise 2 2.285499 648.352169
047 counterClockwise 3 2.867146 662.402559
048 counterClockwise 2 2.983149 676.551490
049 counterClockwise 1 3.016512 690.751550
050 counterClockwise 1 2.799975 704.718294
051 counterClockwise 2 3.550600 720.836102
052 counterClockwise 3 3.034102 735.054055
053 counterClockwise 1 2.400049 748.621024
054 counterClockwise 3 2.616996 762.423097
055 counterClockwise 2 1.966934 775.573916
056 counterClockwise 3 2.616964 789.374746
057 counterClockwise 3 2.202396 802.760883
058 counterClockwise 1 2.516618 816.460740
059 counterClockwise 2 2.666455 830.310125
060 counterClockwise 1 3.983588 845.477718
061 counterClockwise 2 3.183650 876.262210
062 counterClockwise 1 2.584038 890.029885
063 counterClockwise 2 2.416723 903.613346
064 counterClockwise 3 3.033912 917.831028
065 counterClockwise 3 2.933674 931.948420
066 counterClockwise 1 3.917385 947.049628
067 counterClockwise 3 3.967094 962.200239
068 counterClockwise 3 3.617132 976.985862
069 counterClockwise 1 2.966430 991.135187
070 counterClockwise 2 3.583305 1005.901832
071 counterClockwise 1 2.550511 1021.019468
072 counterClockwise 2 3.434031 1035.637198
073 counterClockwise 2 2.467206 1049.271582
074 counterClockwise 3 2.550724 1063.005785
075 counterClockwise 3 4.500742 1078.690128
076 counterClockwise 1 2.567256 1092.424433
077 counterClockwise 1 3.183798 1106.791829
078 counterClockwise 3 2.600751 1120.575862
079 counterClockwise 2 2.350593 1134.145034
080 counterClockwise 2 2.049616 1147.377014
081 counterClockwise 1 3.283546 1184.910888
082 counterClockwise 1 3.867135 1199.961744
083 counterClockwise 2 2.150458 1213.295990
084 counterClockwise 2 3.200312 1227.679675
085 counterClockwise 3 3.150751 1242.014107
086 counterClockwise 2 2.633752 1255.831358
087 counterClockwise 3 2.533422 1269.548637
088 counterClockwise 1 1.750231 1282.482956
089 counterClockwise 3 2.768201 1296.434997
090 counterClockwise 1 2.433377 1310.052301
091 counterClockwise 2 2.600191 1325.435072
092 counterClockwise 1 4.183313 1340.801309
093 counterClockwise 3 3.550780 1355.519459
094 counterClockwise 2 2.883769 1369.587009
095 counterClockwise 3 2.233317 1383.003842
096 counterClockwise 1 3.217810 1397.405654
097 counterClockwise 1 3.167272 1411.756192
098 counterClockwise 3 2.367113 1425.306694
099 counterClockwise 3 2.567069 1439.057505
100 counterClockwise 2 2.801551 1453.043740
101 counterClockwise 3 4.583495 1470.027779
102 counterClockwise 1 2.533622 1483.743879
103 counterClockwise 2 2.716992 1497.644050
104 counterClockwise 1 2.517193 1511.344951
105 counterClockwise 2 2.816825 1525.345538
106 counterClockwise 2 3.250297 1539.781434
107 counterClockwise 1 3.217284 1554.182658
108 counterClockwise 1 3.550561 1568.916669
109 counterClockwise 2 2.933779 1583.033939
110 counterClockwise 3 3.835125 1598.053110
111 counterClockwise 1 2.399849 1612.736385
112 counterClockwise 3 7.016268 1630.935640
113 counterClockwise 3 3.416831 1645.519251
114 counterClockwise 2 3.450384 1660.136499
115 counterClockwise 1 2.667014 1673.987436
116 counterClockwise 3 2.533560 1687.704624
117 counterClockwise 2 3.083691 1701.972427
118 counterClockwise 1 3.800974 1716.956771
119 counterClockwise 2 2.400157 1730.524209
120 counterClockwise 3 2.883559 1744.574994
