Experiment Began: Experiment Ended: 18:03:44

Total Trials = 120
Input Trial Order File: AudioVisCircMotionRatchet_TrialOrderList2.txt
In Phase Sound File: 10s_whiteNoiseBursts_In_Phase_200.wav
Out Phase Sound File: 10s_whiteNoiseBursts_Out_Phase_200.wav
Visual Movement Timing: 200 msec
Adaptor Time: 10 sec
ISI: 150 msec
ITI: 1 sec

Trial Rotation Sound RT ElapsedTime
001 counterClockwise 2 2.450180 12.616359
002 counterClockwise 1 3.400270 27.167053
003 counterClockwise 2 4.116869 42.434332
004 counterClockwise 1 4.700125 58.284946
005 counterClockwise 2 4.350477 73.785880
006 counterClockwise 3 3.966837 88.903179
007 counterClockwise 3 4.016689 104.070323
008 counterClockwise 2 2.683101 117.904261
009 counterClockwise 3 2.766873 131.821756
010 counterClockwise 1 2.766595 145.738820
011 counterClockwise 2 3.150459 165.606610
012 counterClockwise 1 2.284829 179.041697
013 counterClockwise 2 2.767053 192.959080
014 counterClockwise 1 3.516501 207.624877
015 counterClockwise 2 2.316737 221.092245
016 counterClockwise 1 4.283128 236.526007
017 counterClockwise 3 3.283553 250.960213
018 counterClockwise 1 3.666746 265.777346
019 counterClockwise 3 3.900535 280.828308
020 counterClockwise 3 4.966537 296.945007
021 counterClockwise 1 3.283364 324.529549
022 counterClockwise 3 2.283743 337.963819
023 counterClockwise 1 1.516874 350.630957
024 counterClockwise 3 4.333618 366.114823
025 counterClockwise 2 3.501715 380.767037
026 counterClockwise 2 2.266413 394.183903
027 counterClockwise 3 3.099895 408.433456
028 counterClockwise 2 3.183502 422.767496
029 counterClockwise 1 2.983461 436.901447
030 counterClockwise 3 3.150069 451.202039
031 counterClockwise 2 3.699994 507.237387
032 counterClockwise 3 2.983420 521.371419
033 counterClockwise 1 4.266948 536.788900
034 counterClockwise 2 3.500080 551.439227
035 counterClockwise 1 3.866693 566.456423
036 counterClockwise 2 3.633662 581.240590
037 counterClockwise 1 2.733360 595.125797
038 counterClockwise 3 4.133103 610.408836
039 counterClockwise 3 4.500273 626.059370
040 counterClockwise 2 4.316958 641.526884
041 counterClockwise 2 2.583090 660.627440
042 counterClockwise 3 3.083180 674.861219
043 counterClockwise 2 2.883430 688.895762
044 counterClockwise 2 3.483509 703.529960
045 counterClockwise 1 2.816880 717.497577
046 counterClockwise 3 4.183769 732.831986
047 counterClockwise 1 3.666745 747.649378
048 counterClockwise 2 3.718252 762.518287
049 counterClockwise 1 2.382995 776.052430
050 counterClockwise 3 4.466154 791.668368
051 counterClockwise 3 3.583503 828.919679
052 counterClockwise 1 3.084087 843.187689
053 counterClockwise 3 3.516873 857.888236
054 counterClockwise 1 2.650787 871.723101
055 counterClockwise 3 4.300594 887.190318
056 counterClockwise 1 4.134190 902.508420
057 counterClockwise 2 4.817528 918.509258
058 counterClockwise 1 3.484238 945.745678
059 counterClockwise 2 2.866529 959.795569
060 counterClockwise 3 3.316612 974.295157
061 counterClockwise 3 3.934613 999.513692
062 counterClockwise 2 3.517056 1014.214833
063 counterClockwise 3 4.166984 1029.548704
064 counterClockwise 2 3.683671 1044.416826
065 counterClockwise 2 4.600923 1060.184977
066 counterClockwise 1 4.217009 1075.585781
067 counterClockwise 3 3.117275 1089.887087
068 counterClockwise 1 6.000431 1107.072920
069 counterClockwise 3 3.183211 1121.439132
070 counterClockwise 2 3.350480 1135.972441
071 counterClockwise 3 2.950180 1174.840869
072 counterClockwise 1 4.416856 1190.441971
073 counterClockwise 2 3.783810 1205.409624
074 counterClockwise 1 5.100878 1221.693914
075 counterClockwise 3 4.267799 1237.128615
076 counterClockwise 1 5.017852 1253.330412
077 counterClockwise 1 4.318970 1268.832872
078 counterClockwise 3 5.449208 1285.465737
079 counterClockwise 1 6.384159 1303.032893
080 counterClockwise 2 5.650687 1319.867094
081 counterClockwise 1 3.316795 1377.102128
082 counterClockwise 2 2.967506 1391.253618
083 counterClockwise 1 5.233993 1407.671353
084 counterClockwise 3 3.767399 1422.622332
085 counterClockwise 2 7.269404 1441.075416
086 counterClockwise 2 2.616821 1454.875762
087 counterClockwise 3 3.283076 1469.341720
088 counterClockwise 1 3.267368 1483.792684
089 counterClockwise 2 5.034455 1500.010332
090 counterClockwise 3 5.850608 1517.044552
091 counterClockwise 2 3.283697 1572.796300
092 counterClockwise 1 2.917031 1586.897248
093 counterClockwise 1 2.783508 1600.864267
094 counterClockwise 3 2.116913 1614.165184
095 counterClockwise 1 3.369031 1628.718147
096 counterClockwise 3 4.016408 1643.918085
097 counterClockwise 3 3.033097 1658.117751
098 counterClockwise 2 5.050872 1674.352288
099 counterClockwise 2 2.366848 1687.902826
100 counterClockwise 3 5.717381 1704.804148
101 counterClockwise 3 3.283996 1752.439218
102 counterClockwise 1 2.350491 1765.973694
103 counterClockwise 3 4.367225 1781.524518
104 counterClockwise 2 2.984110 1795.692152
105 counterClockwise 1 4.552080 1811.427871
106 counterClockwise 2 2.399927 1825.011192
107 counterClockwise 1 5.250758 1841.428443
108 counterClockwise 3 2.017068 1854.629872
109 counterClockwise 1 2.150240 1867.964723
110 counterClockwise 3 2.400427 1881.548931
111 counterClockwise 3 2.417795 1900.417104
112 counterClockwise 1 2.666847 1914.267970
113 counterClockwise 2 4.116893 1929.568716
114 counterClockwise 2 4.000467 1944.753241
115 counterClockwise 3 4.600993 1960.539373
116 counterClockwise 1 5.182868 1976.904779
117 counterClockwise 2 3.483750 1991.572086
118 counterClockwise 2 4.650551 2007.406047
119 counterClockwise 1 5.317773 2023.890884
120 counterClockwise 2 3.600181 2038.674590
