Experiment Began: Experiment Ended: 16:15:58

Total Trials = 120
Input Trial Order File: AudioVisCircMotionRatchet_TrialOrderList0.txt
In Phase Sound File: 10s_whiteNoiseBursts_In_Phase_200.wav
Out Phase Sound File: 10s_whiteNoiseBursts_Out_Phase_200.wav
Visual Movement Timing: 200 msec
Adaptor Time: 10 sec
ISI: 150 msec
ITI: 1 sec

Trial Rotation Sound RT ElapsedTime
001 counterClockwise 3 4.350505 14.533922
002 counterClockwise 1 4.900413 30.618247
003 counterClockwise 1 3.950574 45.752645
004 counterClockwise 2 3.367306 60.303525
005 counterClockwise 2 3.933775 75.404095
006 counterClockwise 3 4.702309 91.290264
007 counterClockwise 1 4.266590 106.740157
008 counterClockwise 2 6.183560 124.090159
009 counterClockwise 3 6.150437 141.424070
010 counterClockwise 1 11.151068 163.759125
011 counterClockwise 3 7.284557 210.261664
012 counterClockwise 1 5.234427 226.679516
013 counterClockwise 2 8.884122 246.747289
014 counterClockwise 1 8.352295 266.267282
015 counterClockwise 2 6.499806 283.949974
016 counterClockwise 2 9.150038 304.283458
017 counterClockwise 1 11.817333 327.285366
018 counterClockwise 1 7.134329 345.603633
019 counterClockwise 3 9.951552 366.738861
020 counterClockwise 2 7.684395 385.590032
021 counterClockwise 3 6.801915 428.309812
022 counterClockwise 2 6.399401 445.893320
023 counterClockwise 3 8.483866 465.560341
024 counterClockwise 2 8.350220 485.077476
025 counterClockwise 3 9.600590 505.862187
026 counterClockwise 3 10.249637 527.296152
027 counterClockwise 2 7.167607 545.614861
028 counterClockwise 1 5.234001 562.015754
029 counterClockwise 1 5.751094 578.933854
030 counterClockwise 3 5.435890 595.553266
031 counterClockwise 2 4.383564 625.286840
032 counterClockwise 3 3.767379 640.236682
033 counterClockwise 2 3.583344 654.986825
034 counterClockwise 3 7.085129 673.256230
035 counterClockwise 1 5.216750 689.657134
036 counterClockwise 3 7.717330 708.558529
037 counterClockwise 1 6.550354 726.292717
038 counterClockwise 2 6.584711 744.061360
039 counterClockwise 1 6.601743 761.846663
040 counterClockwise 2 4.416406 777.446955
041 counterClockwise 3 7.733607 810.930471
042 counterClockwise 2 9.784184 831.882111
043 counterClockwise 1 12.284317 855.350501
