Experiment Began: Experiment Ended: 11:15:16

Total Trials = 120
Input Trial Order File: AudioVisCircMotionRatchet_TrialOrderList7.txt
In Phase Sound File: 10s_whiteNoiseBursts_In_Phase_200.wav
Out Phase Sound File: 10s_whiteNoiseBursts_Out_Phase_200.wav
Visual Movement Timing: 200 msec
Adaptor Time: 10 sec
ISI: 150 msec
ITI: 1 sec

Trial Rotation Sound RT ElapsedTime
001 clockwise 3 2.866911 13.050439
002 clockwise 3 4.067485 28.285077
003 clockwise 1 4.000229 43.469074
004 clockwise 2 3.250130 57.886357
005 clockwise 3 4.433430 73.505734
006 clockwise 3 4.983454 89.672096
007 clockwise 1 4.166886 105.005879
008 clockwise 2 4.683663 120.873576
009 clockwise 2 2.750492 134.808233
010 clockwise 1 2.833706 148.825864
011 clockwise 3 4.518092 169.627796
012 clockwise 2 6.067180 186.878868
013 clockwise 1 6.717247 204.763892
014 clockwise 1 4.199890 220.149574
015 clockwise 2 4.066537 235.399375
016 clockwise 3 4.100640 250.683213
017 clockwise 3 4.450686 266.317430
018 clockwise 1 5.333941 282.835113
019 clockwise 2 7.500557 301.520254
020 clockwise 1 5.467542 318.154847
021 clockwise 1 7.283791 346.372967
022 clockwise 2 5.151132 362.691118
023 clockwise 1 5.500458 379.360070
024 clockwise 3 7.766205 398.309370
025 clockwise 3 6.884149 416.377274
026 clockwise 1 4.584441 432.145734
027 clockwise 2 4.734194 448.063826
028 clockwise 2 6.768224 466.015565
029 clockwise 3 3.250311 480.433042
030 clockwise 2 8.950782 500.551279
031 clockwise 3 6.733591 530.837372
032 clockwise 1 4.983469 547.003871
033 clockwise 3 9.183636 567.370518
034 clockwise 3 7.350368 585.905013
035 clockwise 1 14.900978 611.973320
036 clockwise 2 6.667212 629.824360
037 clockwise 2 7.684553 648.692524
038 clockwise 1 5.500593 665.377080
039 clockwise 1 4.434333 680.978183
040 clockwise 2 5.550427 697.697420
041 clockwise 3 5.766528 721.513462
042 clockwise 3 6.300784 738.997822
043 clockwise 2 8.000663 758.165437
044 clockwise 3 5.916954 775.249593
045 clockwise 3 7.200816 793.634734
046 clockwise 2 7.234339 812.052943
047 clockwise 1 5.817128 829.053786
048 clockwise 2 5.850874 846.088623
049 clockwise 1 8.483483 865.740704
050 clockwise 3 6.133402 883.057389
051 clockwise 3 6.217078 911.641866
052 clockwise 1 4.483703 927.309380
053 clockwise 1 6.400413 944.877130
054 clockwise 2 7.817344 963.861714
055 clockwise 1 11.651331 986.696753
056 clockwise 2 4.950556 1002.831220
057 clockwise 3 8.085923 1022.100696
058 clockwise 2 13.416268 1046.700355
059 clockwise 1 5.566910 1063.450964
060 clockwise 2 6.184270 1080.819419
061 clockwise 1 7.717235 1109.037331
062 clockwise 2 5.467359 1125.688378
063 clockwise 1 7.001108 1143.873286
064 clockwise 1 4.633986 1159.674319
065 clockwise 3 6.584427 1177.442668
066 clockwise 2 9.983418 1198.611285
067 clockwise 3 5.117198 1214.894508
068 clockwise 3 4.683658 1230.745367
069 clockwise 2 5.151064 1247.080469
070 clockwise 3 4.217138 1262.481182
071 clockwise 1 5.584345 1284.232795
072 clockwise 3 3.550453 1298.966837
073 clockwise 2 6.650465 1316.784371
074 clockwise 1 6.600785 1334.568940
075 clockwise 3 7.817416 1353.571809
076 clockwise 3 6.750340 1371.505207
077 clockwise 1 5.300558 1387.989605
078 clockwise 2 7.267543 1406.424309
079 clockwise 1 7.800724 1425.408837
080 clockwise 2 6.817310 1443.410437
081 clockwise 2 5.417258 1484.694881
082 clockwise 3 5.400476 1501.279182
083 clockwise 1 10.833661 1523.298148
084 clockwise 2 12.949890 1547.430998
085 clockwise 1 13.534581 1572.132864
086 clockwise 2 5.267478 1588.567364
087 clockwise 2 7.733659 1607.484983
088 clockwise 3 7.950824 1626.619786
089 clockwise 3 4.717534 1642.504859
090 clockwise 1 6.350703 1660.039254
091 clockwise 3 8.266422 1685.058276
092 clockwise 1 6.383395 1702.624846
093 clockwise 1 8.567356 1722.409364
094 clockwise 3 4.450338 1738.043877
095 clockwise 1 10.550667 1759.761642
096 clockwise 2 7.567361 1778.496045
097 clockwise 3 9.851169 1799.531172
098 clockwise 2 7.317158 1818.031833
099 clockwise 1 4.318948 1833.518222
100 clockwise 2 6.616812 1851.318376
101 clockwise 2 5.783194 1873.734461
102 clockwise 3 3.300060 1888.201596
103 clockwise 3 5.833974 1905.219776
104 clockwise 1 10.151231 1926.554414
105 clockwise 1 4.500376 1942.221887
106 clockwise 2 4.783727 1958.189071
107 clockwise 2 6.417429 1975.790441
108 clockwise 3 7.434709 1994.392594
109 clockwise 1 4.518133 2010.077900
110 clockwise 3 5.150299 2026.411821
111 clockwise 2 4.266549 2043.211010
112 clockwise 2 6.583531 2060.978607
113 clockwise 3 5.583768 2077.746141
114 clockwise 1 3.767527 2092.697610
115 clockwise 2 7.933895 2111.814987
116 clockwise 1 8.117987 2131.100517
117 clockwise 3 5.267563 2147.552047
118 clockwise 2 9.086044 2167.822158
119 clockwise 3 10.749235 2189.755239
120 clockwise 1 5.833466 2206.772504
