Experiment Began: Experiment Ended: 17:19:40

Total Trials = 120
Input Trial Order File: AudioVisCircMotionRatchet_TrialOrderList4.txt
In Phase Sound File: 10s_whiteNoiseBursts_In_Phase_200.wav
Out Phase Sound File: 10s_whiteNoiseBursts_Out_Phase_200.wav
Visual Movement Timing: 200 msec
Adaptor Time: 10 sec
ISI: 150 msec
ITI: 1 sec

Trial Rotation Sound RT ElapsedTime
001 clockwise 1 1.400246 11.583462
002 clockwise 1 4.350172 27.117255
003 clockwise 3 1.083246 39.367774
004 clockwise 3 1.033712 51.585245
005 clockwise 2 0.683418 63.435345
006 clockwise 2 0.966652 75.585804
007 clockwise 3 1.217018 87.986697
008 clockwise 2 1.300104 100.470438
009 clockwise 2 0.533312 112.172543
010 clockwise 1 0.667139 124.023342
011 clockwise 2 0.583481 139.722832
012 clockwise 2 0.866560 151.755590
013 clockwise 1 0.683466 163.622774
014 clockwise 1 0.583346 175.389851
015 clockwise 3 0.833139 187.390455
016 clockwise 1 0.700937 199.258677
017 clockwise 3 0.733556 211.175602
018 clockwise 3 0.700254 223.042908
019 clockwise 1 0.416768 234.643288
020 clockwise 3 1.067010 246.893913
021 clockwise 1 0.500420 261.394487
022 clockwise 1 0.650346 273.228738
023 clockwise 3 0.700557 285.112999
024 clockwise 2 0.733679 297.030423
025 clockwise 2 0.366620 308.580765
026 clockwise 3 0.766858 320.532897
027 clockwise 1 0.483830 332.200244
028 clockwise 2 0.683284 344.066391
029 clockwise 2 0.466811 355.716161
030 clockwise 3 0.616598 367.515636
031 clockwise 1 0.500296 384.983117
032 clockwise 2 1.000317 397.167401
033 clockwise 1 0.750625 409.085040
034 clockwise 3 0.766548 421.035324
035 clockwise 3 0.633189 432.852560
036 clockwise 2 0.916692 444.953112
037 clockwise 1 0.716487 456.853233
038 clockwise 3 0.849916 468.870301
039 clockwise 2 0.833202 480.888266
040 clockwise 3 0.733251 492.788563
041 clockwise 2 0.749955 507.272282
042 clockwise 3 0.717043 519.172936
043 clockwise 2 0.733843 531.090305
044 clockwise 2 0.468413 542.742643
045 clockwise 1 0.316696 554.243392
046 clockwise 2 0.400195 565.826377
047 clockwise 3 0.616682 577.609878
048 clockwise 1 0.716875 589.493698
049 clockwise 2 0.549835 601.227384
050 clockwise 1 0.500386 612.895060
051 clockwise 3 0.733080 626.611965
052 clockwise 1 0.750292 638.546183
053 clockwise 3 0.649462 650.379454
054 clockwise 2 0.366933 661.963905
055 clockwise 1 0.349947 673.497327
056 clockwise 1 0.433960 685.115088
057 clockwise 2 0.816985 697.115551
058 clockwise 3 3.200620 711.499975
059 clockwise 3 0.451772 723.136880
060 clockwise 1 0.616494 734.937233
061 clockwise 1 0.416070 755.752974
062 clockwise 3 0.883582 767.820180
063 clockwise 3 1.016678 780.019823
064 clockwise 2 1.233660 792.420341
065 clockwise 1 7.200484 810.787995
066 clockwise 1 1.433766 823.405733
067 clockwise 2 0.866889 835.456005
068 clockwise 3 0.850244 847.489799
069 clockwise 1 1.216947 859.873788
070 clockwise 3 1.483545 872.524323
071 clockwise 1 5.283819 890.275198
072 clockwise 3 2.400515 903.859221
073 clockwise 1 7.584523 922.627056
074 clockwise 3 12.886526 946.696954
075 clockwise 3 9.533455 967.413648
076 clockwise 2 6.766575 985.363268
077 clockwise 2 8.300331 1004.847111
078 clockwise 1 5.683427 1021.714629
079 clockwise 1 6.267398 1039.165983
080 clockwise 3 3.200305 1053.550017
081 clockwise 2 3.400015 1073.100484
082 clockwise 2 3.883627 1088.167887
083 clockwise 1 6.100716 1105.435946
084 clockwise 1 3.633569 1120.253065
085 clockwise 2 4.417094 1135.854164
086 clockwise 2 6.517236 1153.555142
087 clockwise 3 6.100229 1170.823516
088 clockwise 2 15.299691 1197.306843
089 clockwise 3 11.683826 1220.157324
090 clockwise 2 4.684045 1236.024972
091 clockwise 2 6.167402 1255.676031
092 clockwise 2 7.350145 1274.210037
093 clockwise 3 9.784222 1295.178092
094 clockwise 3 0.000000 1326.347726
095 clockwise 1 3.450245 1340.981397
096 clockwise 1 7.035883 1359.201242
097 clockwise 2 4.216538 1374.601184
098 clockwise 3 4.766649 1390.534125
099 clockwise 1 5.549786 1407.250704
100 clockwise 2 15.817316 1434.252224
101 clockwise 1 4.717221 1451.669972
102 clockwise 3 9.934039 1472.771129
103 clockwise 2 12.034673 1495.989747
104 clockwise 3 4.833704 1511.990015
105 clockwise 2 6.134216 1529.291408
106 clockwise 3 6.867217 1547.342083
107 clockwise 1 5.652179 1564.177894
108 clockwise 3 6.949509 1582.294452
109 clockwise 2 10.316957 1603.794595
110 clockwise 1 5.116745 1620.094248
111 clockwise 1 9.200501 1641.994831
112 clockwise 2 10.234323 1663.396375
113 clockwise 3 7.583580 1682.146815
114 clockwise 1 10.017422 1703.348205
115 clockwise 3 9.251419 1723.766624
116 clockwise 2 5.616716 1740.567519
117 clockwise 1 1.483760 1753.234625
118 clockwise 3 7.052457 1771.471051
119 clockwise 2 9.033631 1791.688296
120 clockwise 1 7.383070 1810.254247
