Experiment Began: Experiment Ended: 16:12:44

Total Trials = 120
Input Trial Order File: AudioVisCircMotionRatchet_TrialOrderList9.txt
In Phase Sound File: 10s_whiteNoiseBursts_In_Phase_250.wav
Out Phase Sound File: 10s_whiteNoiseBursts_Out_Phase_250.wav
Visual Movement Timing: 250 msec
Adaptor Time: 10 sec
ISI: 150 msec
ITI: 1 sec

Trial Rotation Sound RT ElapsedTime
001 clockwise 2 5.749745 15.932092
002 clockwise 1 6.000257 33.115829
003 clockwise 3 4.967714 49.267497
004 clockwise 1 4.368120 64.819400
005 clockwise 3 3.967998 79.954730
006 clockwise 3 3.933872 95.072198
007 clockwise 1 4.636210 110.891863
008 clockwise 3 4.749961 126.825119
009 clockwise 1 3.849589 141.857221
010 clockwise 2 3.317311 156.358109
011 clockwise 2 4.750501 233.810508
012 clockwise 3 4.633641 249.627903
013 clockwise 1 3.903217 264.715134
014 clockwise 3 4.400301 280.282201
015 clockwise 1 7.365780 298.830521
016 clockwise 1 4.583815 314.597988
017 clockwise 2 5.333586 331.098703
018 clockwise 1 6.750662 349.033287
019 clockwise 2 3.433851 363.650817
020 clockwise 2 3.667021 378.485037
021 clockwise 1 5.352948 423.555732
022 clockwise 3 4.466217 439.205238
023 clockwise 1 3.199586 453.587509
024 clockwise 3 1.933567 466.704496
025 clockwise 2 3.700427 481.589301
026 clockwise 2 4.800342 497.556715
027 clockwise 3 4.284382 513.025035
028 clockwise 2 4.100538 528.292311
029 clockwise 2 4.000683 543.459773
030 clockwise 3 4.320019 558.947023
031 clockwise 3 4.100111 606.728486
032 clockwise 3 4.867016 622.779216
033 clockwise 2 4.534014 638.497115
034 clockwise 1 3.533870 653.214693
035 clockwise 1 3.584066 667.982550
036 clockwise 2 4.216715 683.382972
037 clockwise 3 4.616930 699.184200
038 clockwise 3 5.950346 716.320984
039 clockwise 2 4.215497 731.719727
040 clockwise 1 4.217454 747.120510
041 clockwise 3 5.934799 830.074449
042 clockwise 1 4.433618 845.691621
043 clockwise 1 4.933208 861.811400
044 clockwise 3 5.982331 878.960505
045 clockwise 2 4.066939 894.210499
046 clockwise 3 3.033430 908.410728
047 clockwise 1 3.383968 922.978875
048 clockwise 2 3.566448 937.712542
049 clockwise 2 3.600354 952.497041
050 clockwise 1 3.600242 967.280692
051 clockwise 1 4.400586 1021.285202
052 clockwise 3 4.033215 1036.484539
053 clockwise 2 3.682989 1051.349789
054 clockwise 1 3.567176 1066.100803
055 clockwise 3 4.267147 1081.535243
056 clockwise 1 4.633813 1097.336287
057 clockwise 2 3.284273 1111.804073
058 clockwise 3 5.133624 1128.121370
059 clockwise 2 4.416915 1143.722173
060 clockwise 2 5.619936 1160.526397
061 clockwise 1 3.966784 1229.009066
062 clockwise 3 8.800641 1248.993925
063 clockwise 1 9.167967 1269.345600
064 clockwise 2 7.100243 1287.629427
065 clockwise 2 9.903265 1308.700108
066 clockwise 3 4.382855 1324.266022
067 clockwise 3 3.933313 1339.365388
068 clockwise 2 4.066667 1354.615521
069 clockwise 2 8.133958 1373.916870
070 clockwise 1 9.134491 1394.218583
071 clockwise 3 8.020904 1442.407042
072 clockwise 2 6.050045 1459.640446
073 clockwise 3 4.482981 1475.306385
074 clockwise 3 4.950444 1491.440073
075 clockwise 2 6.467481 1509.091480
076 clockwise 1 7.083962 1527.359496
077 clockwise 3 6.150766 1544.694046
078 clockwise 1 6.034265 1561.912175
079 clockwise 3 5.869320 1578.965150
080 clockwise 3 7.883422 1598.032311
081 clockwise 2 10.984387 1660.283527
082 clockwise 1 4.600768 1676.067826
083 clockwise 3 5.850406 1693.101903
084 clockwise 1 6.334640 1710.620432
085 clockwise 1 8.834077 1730.640740
086 clockwise 2 8.733369 1750.556540
087 clockwise 1 4.033929 1765.774270
088 clockwise 1 6.800305 1783.758155
089 clockwise 2 7.683681 1802.625973
090 clockwise 2 5.783707 1819.593797
091 clockwise 1 6.883812 1874.597758
092 clockwise 3 5.366348 1891.147021
093 clockwise 2 8.666728 1910.996365
094 clockwise 2 7.301094 1929.464623
095 clockwise 1 5.550593 1946.198804
096 clockwise 3 7.618456 1965.000991
097 clockwise 3 7.951344 1984.135861
098 clockwise 1 8.536666 2003.856209
099 clockwise 1 9.398967 2024.438149
100 clockwise 3 13.150621 2048.771882
101 clockwise 1 6.950599 2094.590611
102 clockwise 3 7.051141 2112.825404
103 clockwise 1 6.950728 2130.959614
104 clockwise 2 5.470139 2147.613465
105 clockwise 2 4.383567 2163.180314
106 clockwise 1 8.732560 2183.095099
107 clockwise 3 7.783577 2202.062309
108 clockwise 3 7.533826 2220.779900
109 clockwise 2 11.334305 2243.297973
110 clockwise 3 6.700908 2261.182248
111 clockwise 2 11.920506 2305.703761
112 clockwise 2 14.832533 2331.719225
113 clockwise 3 5.583439 2348.485930
114 clockwise 3 8.851030 2368.520992
115 clockwise 1 12.567554 2392.272188
116 clockwise 1 6.517504 2409.973372
117 clockwise 2 4.550524 2425.707033
118 clockwise 1 5.717234 2442.607944
119 clockwise 2 10.283339 2464.077278
120 clockwise 2 3.649374 2478.909558
