Experiment Began: Experiment Ended: 12:10:12

Total Trials = 120
Input Trial Order File: AudioVisCircMotionRatchet_TrialOrderList4.txt
In Phase Sound File: 10s_whiteNoiseBursts_In_Phase_200.wav
Out Phase Sound File: 10s_whiteNoiseBursts_Out_Phase_200.wav
Visual Movement Timing: 200 msec
Adaptor Time: 10 sec
ISI: 150 msec
ITI: 1 sec

Trial Rotation Sound RT ElapsedTime
001 clockwise 1 4.883605 15.049957
002 clockwise 1 4.500471 30.700533
003 clockwise 3 6.650183 48.500634
004 clockwise 3 4.616860 64.267645
005 clockwise 2 4.250131 79.668034
006 clockwise 2 3.849943 94.668128
007 clockwise 3 4.134056 109.952496
008 clockwise 2 4.250149 125.352585
009 clockwise 2 3.550116 140.052885
010 clockwise 1 6.166928 157.372454
011 clockwise 2 2.749595 172.705309
012 clockwise 2 2.416726 186.272390
013 clockwise 1 2.766652 200.189678
014 clockwise 1 2.483601 213.823921
015 clockwise 3 3.116807 228.091215
016 clockwise 1 2.933338 242.175289
017 clockwise 3 2.683191 256.009039
018 clockwise 3 3.032988 270.192811
019 clockwise 1 3.616617 284.960269
020 clockwise 3 4.100604 300.211661
021 clockwise 1 3.550167 316.047841
022 clockwise 1 10.282688 337.513781
023 clockwise 3 4.849775 353.530134
024 clockwise 2 7.817289 372.530647
025 clockwise 2 6.483955 390.198212
026 clockwise 3 5.050423 406.431917
027 clockwise 1 6.517422 424.116218
028 clockwise 2 4.433979 439.716803
029 clockwise 2 6.066957 456.950656
030 clockwise 3 5.850337 473.984584
031 clockwise 1 5.085972 491.420860
032 clockwise 2 3.683210 506.287718
033 clockwise 1 4.015835 521.486593
034 clockwise 3 3.966404 536.636440
035 clockwise 3 4.450119 552.269969
036 clockwise 2 3.616719 567.053354
037 clockwise 1 3.250290 581.487459
038 clockwise 3 3.517114 596.171521
039 clockwise 2 3.533713 610.888905
040 clockwise 3 2.483762 624.555846
041 clockwise 2 3.916788 640.773131
042 clockwise 3 3.467076 655.423793
043 clockwise 2 3.583891 670.191071
044 clockwise 2 2.785891 684.160352
045 clockwise 1 4.767040 700.110896
046 clockwise 2 2.799968 714.093430
047 clockwise 3 2.266600 727.526067
048 clockwise 1 3.783905 742.492864
049 clockwise 2 2.766533 756.425919
050 clockwise 1 2.549857 770.142832
051 clockwise 3 4.416732 786.726805
052 clockwise 1 1.883798 799.794175
053 clockwise 3 7.650562 818.628114
054 clockwise 2 7.467825 837.262517
055 clockwise 1 2.500957 850.946668
056 clockwise 1 2.300467 864.430560
057 clockwise 2 2.386500 877.984145
058 clockwise 3 2.249300 891.416891
059 clockwise 3 2.866363 905.449620
060 clockwise 1 2.133304 918.749122
061 clockwise 1 1.800103 950.649604
062 clockwise 3 2.250062 964.066454
063 clockwise 3 3.733885 978.983944
064 clockwise 2 4.533706 994.700906
065 clockwise 1 1.950189 1007.834906
066 clockwise 1 1.450183 1020.451730
067 clockwise 2 1.867371 1033.502438
068 clockwise 3 1.950172 1046.635854
069 clockwise 1 2.717264 1060.536709
070 clockwise 3 2.202986 1073.923363
071 clockwise 1 2.216596 1088.289738
072 clockwise 3 3.766086 1103.221981
073 clockwise 1 7.633506 1122.038533
074 clockwise 3 4.801171 1138.023346
075 clockwise 3 4.183484 1153.390554
076 clockwise 2 2.316812 1166.874260
077 clockwise 2 2.500008 1180.557870
078 clockwise 1 2.883779 1194.608996
079 clockwise 1 3.184004 1208.976366
080 clockwise 3 2.433639 1222.593403
081 clockwise 2 2.116885 1237.993986
082 clockwise 2 3.567172 1252.747163
083 clockwise 1 1.999239 1265.929535
084 clockwise 1 2.682737 1279.795585
085 clockwise 2 3.083950 1294.046086
086 clockwise 2 2.250005 1307.462771
087 clockwise 3 5.416934 1324.063676
088 clockwise 2 2.383537 1337.613941
089 clockwise 3 2.116948 1350.914757
090 clockwise 2 2.633704 1364.714974
091 clockwise 2 2.666936 1379.715292
092 clockwise 2 1.799962 1392.682189
093 clockwise 3 3.300242 1407.166192
094 clockwise 3 2.100270 1420.450056
095 clockwise 1 2.270306 1433.887380
096 clockwise 1 2.116255 1447.186821
097 clockwise 2 5.599001 1463.969208
098 clockwise 3 3.350816 1478.503151
099 clockwise 1 2.883319 1492.553227
100 clockwise 2 3.384166 1507.121252
101 clockwise 1 1.800209 1520.954989
102 clockwise 3 2.284054 1534.422385
103 clockwise 2 1.816918 1547.422654
104 clockwise 3 3.600547 1562.206844
105 clockwise 2 2.667178 1576.057264
106 clockwise 3 4.300550 1591.524549
107 clockwise 1 2.569479 1605.277433
108 clockwise 3 4.383262 1620.844006
109 clockwise 2 2.133365 1634.143226
110 clockwise 1 1.883297 1647.209582
111 clockwise 1 2.049981 1662.076039
112 clockwise 2 2.483706 1675.743512
113 clockwise 3 1.366975 1688.277072
114 clockwise 1 3.916739 1703.360569
115 clockwise 3 2.650369 1717.177941
116 clockwise 2 1.900672 1730.262615
117 clockwise 1 2.350095 1743.796073
118 clockwise 3 1.550124 1756.529910
119 clockwise 2 1.650579 1769.364183
120 clockwise 1 1.833528 1782.381092
