Experiment Began: Experiment Ended: 17:45:15

Total Trials = 120
Input Trial Order File: AudioVisCircMotionRatchet_TrialOrderList9.txt
In Phase Sound File: 10s_whiteNoiseBursts_In_Phase_250.wav
Out Phase Sound File: 10s_whiteNoiseBursts_Out_Phase_250.wav
Visual Movement Timing: 250 msec
Adaptor Time: 10 sec
ISI: 150 msec
ITI: 1 sec

Trial Rotation Sound RT ElapsedTime
001 clockwise 2 3.950129 14.134443
002 clockwise 1 3.884323 29.202554
003 clockwise 3 3.484006 43.872013
004 clockwise 1 2.916412 57.971046
005 clockwise 3 4.300416 73.454466
006 clockwise 3 4.117089 88.738693
007 clockwise 1 5.250601 105.173433
008 clockwise 3 3.816867 120.173997
009 clockwise 1 4.133651 135.491962
010 clockwise 2 3.400438 150.059645
011 clockwise 2 3.350382 170.294059
012 clockwise 3 3.516896 184.996038
013 clockwise 1 4.049873 200.212121
014 clockwise 3 3.550197 214.945747
015 clockwise 1 3.301118 229.414297
016 clockwise 1 3.099998 243.697778
017 clockwise 2 4.350635 259.232281
018 clockwise 1 3.617196 274.016587
019 clockwise 2 5.100746 290.301098
020 clockwise 2 4.383713 305.851983
021 clockwise 1 2.349458 324.953712
022 clockwise 3 3.583082 339.719888
023 clockwise 1 4.650515 355.554375
024 clockwise 3 3.367175 370.105587
025 clockwise 2 2.800078 384.072434
026 clockwise 2 3.734220 398.990643
027 clockwise 3 3.033432 413.208181
028 clockwise 2 2.583949 426.976067
029 clockwise 2 2.700321 440.859988
030 clockwise 3 3.067323 455.112910
031 clockwise 3 2.149922 475.995068
032 clockwise 3 2.666534 489.845209
033 clockwise 2 3.050571 504.079894
034 clockwise 1 4.183705 519.430894
035 clockwise 1 3.133459 533.748499
036 clockwise 2 4.117904 549.033638
037 clockwise 3 2.283914 562.501806
038 clockwise 3 2.433417 576.120651
039 clockwise 2 2.249507 589.553727
040 clockwise 1 3.083170 603.820368
041 clockwise 3 4.183785 631.121962
042 clockwise 1 4.517040 646.806151
043 clockwise 1 4.150644 662.140650
044 clockwise 3 5.800875 679.125064
045 clockwise 2 2.700382 693.009140
046 clockwise 3 3.567144 707.743532
047 clockwise 1 2.166426 721.095374
048 clockwise 2 3.933106 736.211414
049 clockwise 2 2.233429 749.628166
050 clockwise 1 2.584180 763.396085
051 clockwise 1 2.199920 782.196325
052 clockwise 3 2.716875 796.097219
053 clockwise 2 3.300668 810.581814
054 clockwise 1 2.933600 824.699323
055 clockwise 3 3.416926 839.283518
056 clockwise 1 4.485279 854.952714
057 clockwise 2 5.132494 871.269416
058 clockwise 3 4.383763 886.836328
059 clockwise 2 3.783643 901.803571
060 clockwise 2 4.316612 917.304283
061 clockwise 1 3.616847 947.305211
062 clockwise 3 6.033351 964.488924
063 clockwise 1 5.066709 980.706350
064 clockwise 2 2.816886 994.673646
065 clockwise 2 3.167206 1008.991140
066 clockwise 3 4.833611 1024.976180
067 clockwise 3 3.699960 1039.825441
068 clockwise 2 3.050241 1054.025943
069 clockwise 2 3.550301 1068.726575
070 clockwise 1 2.166729 1082.043526
071 clockwise 3 2.683396 1097.077399
072 clockwise 2 2.750184 1110.977827
073 clockwise 3 3.183492 1125.311548
074 clockwise 3 1.750082 1138.212040
075 clockwise 2 5.016877 1154.379186
076 clockwise 1 3.516909 1169.046602
077 clockwise 3 3.301820 1183.498751
078 clockwise 1 4.632966 1199.281758
079 clockwise 3 3.116623 1213.548237
080 clockwise 3 4.516743 1229.215535
081 clockwise 2 2.166745 1257.200016
082 clockwise 1 3.066775 1271.417228
083 clockwise 3 1.050179 1283.617711
084 clockwise 1 1.582997 1296.351200
085 clockwise 1 3.250020 1310.751822
086 clockwise 2 3.850256 1325.752446
087 clockwise 1 2.600042 1339.502661
088 clockwise 1 2.499949 1353.154565
089 clockwise 2 3.849654 1368.154447
090 clockwise 2 3.583610 1382.904299
091 clockwise 1 2.600251 1401.405130
092 clockwise 3 5.800236 1418.355403
093 clockwise 2 3.100329 1432.606139
094 clockwise 2 4.100245 1447.856630
095 clockwise 1 2.416827 1461.423645
096 clockwise 3 3.166676 1475.740650
097 clockwise 3 5.616943 1492.508049
098 clockwise 1 2.916633 1506.574996
099 clockwise 1 1.683375 1519.410646
100 clockwise 3 2.150143 1532.711134
101 clockwise 1 2.166728 1547.327022
102 clockwise 3 2.566651 1561.044196
103 clockwise 1 5.000320 1577.195111
104 clockwise 2 1.633659 1589.978837
105 clockwise 2 5.116561 1606.245648
106 clockwise 1 3.566617 1620.962870
107 clockwise 3 2.366821 1634.480145
108 clockwise 3 4.066757 1649.697274
109 clockwise 2 7.600341 1668.448020
110 clockwise 3 3.066518 1682.665293
111 clockwise 2 3.649981 1698.450311
112 clockwise 2 5.367512 1714.966979
113 clockwise 3 2.883499 1729.000694
114 clockwise 3 1.816796 1741.967758
115 clockwise 1 2.549941 1755.668381
116 clockwise 1 6.717050 1773.536192
117 clockwise 2 4.200365 1788.887220
118 clockwise 1 2.533176 1802.571041
119 clockwise 2 5.400188 1819.122186
120 clockwise 2 6.168311 1836.440918
