Experiment Began: Experiment Ended: 17:19:55

Total Trials = 120
Input Trial Order File: AudioVisCircMotionRatchet_TrialOrderList2.txt
In Phase Sound File: 10s_whiteNoiseBursts_In_Phase_200.wav
Out Phase Sound File: 10s_whiteNoiseBursts_Out_Phase_200.wav
Visual Movement Timing: 200 msec
Adaptor Time: 10 sec
ISI: 150 msec
ITI: 1 sec

Trial Rotation Sound RT ElapsedTime
001 counterClockwise 2 3.732923 13.916098
002 counterClockwise 1 3.199802 28.298939
003 counterClockwise 2 4.600729 44.066511
004 counterClockwise 1 4.134066 59.384291
005 counterClockwise 2 3.900718 74.468479
006 counterClockwise 3 3.500238 89.135441
007 counterClockwise 3 3.234111 103.553281
008 counterClockwise 2 5.700676 120.437504
009 counterClockwise 3 3.250601 134.871658
010 counterClockwise 1 3.183578 149.238610
011 counterClockwise 2 2.799990 175.124051
012 counterClockwise 1 2.099749 188.406770
013 counterClockwise 2 2.666936 202.256814
014 counterClockwise 1 4.250097 217.673762
015 counterClockwise 2 3.517124 232.374912
016 counterClockwise 1 2.367588 245.925857
017 counterClockwise 3 1.816916 258.925946
018 counterClockwise 1 1.983777 272.093473
019 counterClockwise 3 3.716985 286.993980
020 counterClockwise 3 2.200373 300.378118
021 counterClockwise 1 1.650076 314.078596
022 counterClockwise 3 4.750370 330.012781
023 counterClockwise 1 4.667020 345.865014
024 counterClockwise 3 2.149879 359.197508
025 counterClockwise 2 3.067043 373.447381
026 counterClockwise 2 2.150467 386.781204
027 counterClockwise 3 6.634059 404.582179
028 counterClockwise 2 3.666654 419.432512
029 counterClockwise 1 2.050164 432.666753
030 counterClockwise 3 2.333773 446.184108
031 counterClockwise 2 2.467099 461.068402
032 counterClockwise 3 3.733464 475.985751
033 counterClockwise 1 3.000216 490.169651
034 counterClockwise 2 2.168321 503.521853
035 counterClockwise 1 3.882980 518.588610
036 counterClockwise 2 2.300086 532.071806
037 counterClockwise 1 1.783370 545.021428
038 counterClockwise 3 5.116323 561.287934
039 counterClockwise 3 2.267221 574.739210
040 counterClockwise 2 3.100048 589.022984
041 counterClockwise 2 2.600742 621.441187
042 counterClockwise 3 2.466808 635.091237
043 counterClockwise 2 2.000346 648.275336
044 counterClockwise 2 1.617036 661.076268
045 counterClockwise 1 2.483418 674.743185
046 counterClockwise 3 1.835203 687.761935
047 counterClockwise 1 2.499974 701.445217
048 counterClockwise 2 2.299379 714.928181
049 counterClockwise 1 1.716647 727.827760
050 counterClockwise 3 3.716737 742.711543
051 counterClockwise 3 1.933607 765.196951
052 counterClockwise 1 1.766773 778.130634
053 counterClockwise 3 3.150051 792.464881
054 counterClockwise 1 2.700057 806.349103
055 counterClockwise 3 3.150817 820.683765
056 counterClockwise 1 2.834328 834.701803
057 counterClockwise 2 2.918324 848.803207
058 counterClockwise 1 2.266389 862.253304
059 counterClockwise 2 1.967069 875.386615
060 counterClockwise 3 2.199698 888.769260
061 counterClockwise 3 2.816789 909.686979
062 counterClockwise 2 1.733583 922.604256
063 counterClockwise 3 3.450440 937.238467
064 counterClockwise 2 2.966830 951.389009
065 counterClockwise 2 3.500863 966.073877
066 counterClockwise 1 1.633516 978.890701
067 counterClockwise 3 1.850927 991.925231
068 counterClockwise 1 3.216928 1006.325765
069 counterClockwise 3 4.116631 1021.627770
070 counterClockwise 2 4.216386 1037.027273
071 counterClockwise 3 1.617178 1062.494359
072 counterClockwise 1 1.733627 1075.411606
073 counterClockwise 2 2.400044 1088.995414
074 counterClockwise 1 1.916757 1102.096101
075 counterClockwise 3 3.100576 1116.380569
076 counterClockwise 1 3.250994 1130.814916
077 counterClockwise 1 2.167613 1144.166288
078 counterClockwise 3 1.849989 1157.199344
079 counterClockwise 1 1.367122 1169.733711
080 counterClockwise 2 2.000259 1182.919451
081 counterClockwise 1 2.666616 1197.868657
082 counterClockwise 2 2.783570 1211.835134
083 counterClockwise 1 1.916821 1224.902397
084 counterClockwise 3 3.150862 1239.203923
085 counterClockwise 2 3.166796 1253.554532
086 counterClockwise 2 3.767303 1268.490080
087 counterClockwise 3 2.267253 1281.923878
088 counterClockwise 1 5.666848 1298.757776
089 counterClockwise 2 4.650376 1314.592183
090 counterClockwise 3 5.333614 1331.094259
091 counterClockwise 2 1.850125 1356.376941
092 counterClockwise 1 1.366810 1368.926843
093 counterClockwise 1 3.167346 1383.260826
094 counterClockwise 3 2.850722 1397.295098
095 counterClockwise 1 4.117397 1412.596241
096 counterClockwise 3 3.733734 1427.516142
097 counterClockwise 3 1.650300 1440.333257
098 counterClockwise 2 2.250256 1453.767156
099 counterClockwise 2 1.483845 1466.434728
100 counterClockwise 3 1.316741 1478.936227
101 counterClockwise 3 1.633092 1493.069256
102 counterClockwise 1 2.266722 1506.519101
103 counterClockwise 3 1.983763 1519.685954
104 counterClockwise 2 1.350383 1532.219854
105 counterClockwise 1 2.283167 1545.686937
106 counterClockwise 2 2.683656 1559.537182
107 counterClockwise 1 2.100099 1572.787614
108 counterClockwise 3 2.900526 1586.838675
109 counterClockwise 1 1.483538 1599.505871
110 counterClockwise 3 8.400983 1619.090395
111 counterClockwise 3 1.250017 1644.924051
112 counterClockwise 1 1.417023 1657.526594
113 counterClockwise 2 1.432462 1670.142703
114 counterClockwise 2 1.433172 1682.742270
115 counterClockwise 3 1.566990 1695.476071
116 counterClockwise 1 2.400614 1709.060279
117 counterClockwise 2 2.333514 1722.577199
118 counterClockwise 2 3.367480 1737.111830
119 counterClockwise 1 2.751116 1751.046580
120 counterClockwise 2 1.750247 1763.980180
