Experiment Began: Experiment Ended: 11:11:28

Total Trials = 120
Input Trial Order File: AudioVisCircMotionRatchet_TrialOrderList4.txt
In Phase Sound File: 10s_whiteNoiseBursts_In_Phase_200.wav
Out Phase Sound File: 10s_whiteNoiseBursts_Out_Phase_200.wav
Visual Movement Timing: 200 msec
Adaptor Time: 10 sec
ISI: 150 msec
ITI: 1 sec

Trial Rotation Sound RT ElapsedTime
001 clockwise 1 5.500775 15.717379
002 clockwise 1 5.333445 32.234480
003 clockwise 3 5.652408 49.070730
004 clockwise 3 4.216959 64.471264
005 clockwise 2 4.249715 79.903704
006 clockwise 2 6.049952 97.137076
007 clockwise 3 4.566825 112.887775
008 clockwise 2 4.284188 128.339628
009 clockwise 2 3.917056 143.423712
010 clockwise 1 6.467336 161.074838
011 clockwise 2 3.133809 181.275953
012 clockwise 2 3.867239 196.326828
013 clockwise 1 7.869025 215.379348
014 clockwise 1 5.899545 232.462338
015 clockwise 3 4.450156 248.095700
016 clockwise 1 6.133672 265.413031
017 clockwise 3 4.733779 281.330568
018 clockwise 3 0.133186 292.630799
019 clockwise 1 4.166922 307.981584
020 clockwise 3 4.733780 323.899015
021 clockwise 1 5.000526 349.816530
022 clockwise 1 4.301038 365.301041
023 clockwise 3 8.752154 385.220051
024 clockwise 2 6.167227 402.571035
025 clockwise 2 5.516981 419.270160
026 clockwise 3 6.234194 436.687787
027 clockwise 1 4.950719 452.822384
028 clockwise 2 3.850059 467.856138
029 clockwise 2 4.950385 483.990323
030 clockwise 3 7.984751 503.158646
031 clockwise 1 7.000563 523.126357
032 clockwise 2 5.252678 539.563013
033 clockwise 1 5.366628 556.095858
034 clockwise 3 4.333590 571.612265
035 clockwise 3 6.983636 589.779085
036 clockwise 2 5.650882 606.613970
037 clockwise 1 4.934015 622.731482
038 clockwise 3 4.934063 638.849243
039 clockwise 2 6.550535 656.583330
040 clockwise 3 4.767057 672.517583
041 clockwise 2 6.184092 699.552137
042 clockwise 3 6.650199 717.387502
043 clockwise 2 3.499924 732.070269
044 clockwise 2 5.583713 748.804074
045 clockwise 1 5.550362 765.538272
046 clockwise 2 5.317166 782.022836
047 clockwise 3 5.516947 798.723596
048 clockwise 1 3.700734 813.591476
049 clockwise 2 3.617324 828.392166
050 clockwise 1 5.566908 845.142682
051 clockwise 3 4.834004 862.193890
052 clockwise 1 3.933844 877.295975
053 clockwise 3 2.766558 891.245321
054 clockwise 2 3.166685 905.594884
055 clockwise 1 3.317013 920.078704
056 clockwise 1 2.916927 934.179517
057 clockwise 2 4.367266 949.730657
058 clockwise 3 4.366867 965.281549
059 clockwise 3 6.783963 983.249230
060 clockwise 1 3.483509 997.916380
061 clockwise 1 4.467156 1017.367466
062 clockwise 3 5.816722 1034.354752
063 clockwise 3 3.633620 1049.171077
064 clockwise 2 3.417111 1063.771609
065 clockwise 1 10.067535 1085.023015
066 clockwise 1 4.966863 1101.156825
067 clockwise 2 3.834233 1116.175101
068 clockwise 3 5.550729 1132.909429
069 clockwise 1 3.517260 1147.610078
070 clockwise 3 5.650701 1164.444060
071 clockwise 1 4.384261 1180.897055
072 clockwise 3 6.199902 1198.279924
073 clockwise 1 4.000228 1213.462913
074 clockwise 3 5.151037 1229.797511
075 clockwise 3 5.133580 1246.114610
076 clockwise 2 4.100568 1261.382741
077 clockwise 2 5.117617 1277.684032
078 clockwise 1 3.766882 1292.634436
079 clockwise 1 3.933645 1307.751889
080 clockwise 3 3.233724 1322.169352
081 clockwise 2 3.402779 1337.472630
082 clockwise 2 2.749715 1351.405106
083 clockwise 1 2.566403 1365.137556
084 clockwise 1 2.933517 1379.254783
085 clockwise 2 5.867442 1396.305919
086 clockwise 2 3.500983 1410.990880
087 clockwise 3 4.366903 1426.541141
088 clockwise 2 3.784152 1441.509175
089 clockwise 3 3.083858 1455.776214
090 clockwise 2 3.366823 1470.326468
091 clockwise 2 4.183976 1487.527522
092 clockwise 2 2.952018 1501.646758
093 clockwise 3 2.549973 1515.379942
094 clockwise 3 2.766609 1529.329414
095 clockwise 1 3.750539 1544.246686
096 clockwise 1 3.634022 1559.064347
097 clockwise 2 3.100505 1573.348502
098 clockwise 3 3.116804 1587.648697
099 clockwise 1 5.117106 1603.933243
100 clockwise 2 2.517102 1617.617610
101 clockwise 1 4.867883 1634.785697
102 clockwise 3 4.233552 1650.219304
103 clockwise 2 4.685435 1666.071664
104 clockwise 3 4.266197 1681.521207
105 clockwise 2 4.033307 1696.737507
106 clockwise 3 4.134068 1712.055161
107 clockwise 1 5.534019 1728.772999
108 clockwise 3 3.033428 1742.990223
109 clockwise 2 4.683883 1758.858158
110 clockwise 1 3.750405 1773.791799
111 clockwise 1 3.583507 1789.392111
112 clockwise 2 2.600503 1803.176421
113 clockwise 3 2.350195 1816.710344
114 clockwise 1 3.052318 1830.929860
115 clockwise 3 3.933326 1846.029759
116 clockwise 2 3.867248 1861.079585
117 clockwise 1 4.534067 1876.780283
118 clockwise 3 3.000538 1890.948186
119 clockwise 2 3.200553 1905.315798
120 clockwise 1 3.883934 1920.383389
