Experiment Began: Experiment Ended: 11:22:20

Total Trials = 120
Input Trial Order File: AudioVisCircMotionRatchet_TrialOrderList3.txt
In Phase Sound File: 10s_whiteNoiseBursts_In_Phase_250.wav
Out Phase Sound File: 10s_whiteNoiseBursts_Out_Phase_250.wav
Visual Movement Timing: 250 msec
Adaptor Time: 10 sec
ISI: 150 msec
ITI: 1 sec

Trial Rotation Sound RT ElapsedTime
001 counterClockwise 1 7.418629 17.601804
002 counterClockwise 1 6.883494 35.669183
003 counterClockwise 2 12.566603 59.401712
004 counterClockwise 1 10.150665 80.735631
005 counterClockwise 3 8.600600 100.519993
006 counterClockwise 3 8.133445 119.820560
007 counterClockwise 1 7.617713 138.622017
008 counterClockwise 3 4.066984 153.855962
009 counterClockwise 1 6.000910 171.040639
010 counterClockwise 2 7.584887 189.808835
011 counterClockwise 1 8.266185 220.958203
012 counterClockwise 2 4.866726 237.008467
013 counterClockwise 3 6.434973 254.627140
014 counterClockwise 2 6.350279 272.144081
015 counterClockwise 1 7.150318 290.461613
016 counterClockwise 3 10.434348 312.079582
017 counterClockwise 1 0.000000 343.266622
018 counterClockwise 3 11.282985 365.716579
019 counterClockwise 2 5.916815 382.816339
020 counterClockwise 1 8.967864 402.967483
021 counterClockwise 2 6.400161 424.301155
022 counterClockwise 3 10.300479 445.785474
023 counterClockwise 2 11.567546 468.519590
024 counterClockwise 3 13.134464 492.837837
025 counterClockwise 1 11.618718 515.623640
026 counterClockwise 2 9.415780 536.206611
027 counterClockwise 2 7.684167 555.075204
028 counterClockwise 3 9.367802 575.626493
029 counterClockwise 2 11.752293 598.545430
030 counterClockwise 3 7.600611 617.329546
031 counterClockwise 2 0.000000 677.299248
032 counterClockwise 2 16.000821 704.467126
033 counterClockwise 3 16.634172 732.284752
034 counterClockwise 1 19.536113 763.004439
035 counterClockwise 3 12.534410 786.705643
036 counterClockwise 2 0.000000 817.873884
037 counterClockwise 3 10.000464 839.040953
038 counterClockwise 1 0.000000 870.209106
039 counterClockwise 3 6.033674 887.426465
040 counterClockwise 1 15.134377 913.744168
041 counterClockwise 2 13.685612 941.446913
042 counterClockwise 3 12.883194 965.515237
043 counterClockwise 1 11.016019 987.714537
