Experiment Began: Experiment Ended: 11:33:02

Total Trials = 120
Input Trial Order File: AudioVisCircMotionRatchet_TrialOrderList1.txt
In Phase Sound File: 10s_whiteNoiseBursts_In_Phase_250.wav
Out Phase Sound File: 10s_whiteNoiseBursts_Out_Phase_250.wav
Visual Movement Timing: 250 msec
Adaptor Time: 10 sec
ISI: 150 msec
ITI: 1 sec

Trial Rotation Sound RT ElapsedTime
001 clockwise 3 5.349616 15.532461
002 clockwise 2 3.783587 30.499033
003 clockwise 1 3.833324 45.482650
004 clockwise 2 3.817570 60.450900
005 clockwise 2 3.800597 75.435031
006 clockwise 3 3.233342 89.852084
007 clockwise 3 4.401630 105.437474
008 clockwise 2 4.433649 121.054632
009 clockwise 3 4.333641 136.571863
010 clockwise 3 5.550479 153.306190
011 clockwise 1 2.950215 169.640491
012 clockwise 3 4.235272 185.042823
013 clockwise 3 5.083264 201.309953
014 clockwise 1 3.216483 215.709632
015 clockwise 2 4.116345 231.009010
016 clockwise 1 3.233812 245.426423
017 clockwise 1 2.167042 258.760628
018 clockwise 2 2.433759 272.378290
019 clockwise 1 3.733613 287.295662
020 clockwise 2 4.450222 302.929734
021 clockwise 2 3.133114 481.301302
022 clockwise 3 4.016944 496.501008
023 clockwise 2 3.400109 511.051419
024 clockwise 1 3.700258 525.901988
025 clockwise 3 3.433817 540.502931
026 clockwise 3 3.650867 555.337391
027 clockwise 1 3.883302 570.404229
028 clockwise 1 3.216744 584.788224
029 clockwise 2 2.867238 598.839278
030 clockwise 1 2.967047 612.989977
031 clockwise 1 2.717201 627.807497
032 clockwise 3 4.100537 643.091267
033 clockwise 3 4.216769 658.474695
034 clockwise 1 4.283943 673.908960
035 clockwise 2 2.268283 687.360493
036 clockwise 3 2.433265 700.977722
037 clockwise 1 2.499922 714.660896
038 clockwise 1 2.532763 728.343315
039 clockwise 2 3.667167 743.160936
040 clockwise 2 3.933710 758.277978
041 clockwise 3 3.516808 932.615435
042 clockwise 2 3.033811 946.833286
043 clockwise 1 2.902492 960.919271
044 clockwise 1 2.599661 974.702465
045 clockwise 3 3.966877 989.852704
046 clockwise 2 3.266674 1004.302053
047 clockwise 3 3.100060 1018.585613
048 clockwise 3 5.684422 1035.453397
049 clockwise 2 2.217212 1048.859392
050 clockwise 2 2.500574 1062.526686
051 clockwise 3 4.167237 1080.694587
052 clockwise 2 3.517062 1095.378700
053 clockwise 3 4.668721 1111.231240
054 clockwise 2 2.300248 1124.714865
055 clockwise 1 3.716383 1139.614496
056 clockwise 2 2.833126 1153.630650
057 clockwise 1 2.049922 1166.864342
058 clockwise 1 2.617015 1180.664986
059 clockwise 3 3.650956 1195.499874
060 clockwise 1 3.051005 1209.717579
061 clockwise 2 3.433564 1365.536273
062 clockwise 3 3.033680 1379.753662
063 clockwise 3 3.550165 1394.489169
064 clockwise 1 2.866583 1408.539330
065 clockwise 3 2.267046 1421.989576
066 clockwise 3 3.033145 1436.205270
067 clockwise 1 2.583540 1449.955665
068 clockwise 3 2.633800 1463.772950
069 clockwise 1 2.333593 1477.273672
070 clockwise 3 2.250279 1490.707615
071 clockwise 2 2.566826 1505.241404
072 clockwise 3 3.000465 1519.425739
073 clockwise 3 4.050085 1534.659068
074 clockwise 1 1.700159 1547.526351
075 clockwise 3 2.216936 1560.927266
076 clockwise 2 2.350426 1574.461494
077 clockwise 2 3.567077 1589.211801
078 clockwise 1 2.500212 1602.862041
079 clockwise 2 2.533375 1616.545779
080 clockwise 2 2.250369 1629.946500
081 clockwise 1 2.950305 1645.364795
082 clockwise 2 3.650011 1660.164764
083 clockwise 1 2.899905 1674.214198
084 clockwise 3 3.200460 1688.564891
085 clockwise 1 4.166733 1703.881647
086 clockwise 1 4.166577 1719.198803
087 clockwise 2 2.199817 1732.548937
088 clockwise 1 2.700117 1746.399479
089 clockwise 2 3.533532 1761.083190
090 clockwise 2 2.966824 1775.200486
091 clockwise 1 4.600141 1933.922987
092 clockwise 3 3.050228 1948.122600
093 clockwise 2 3.217029 1962.489486
094 clockwise 2 2.817102 1976.456796
095 clockwise 3 3.483549 1991.090348
096 clockwise 1 3.683363 2005.924168
097 clockwise 1 3.333488 2020.407926
098 clockwise 2 4.533437 2036.092102
099 clockwise 3 2.183448 2049.425778
100 clockwise 1 3.050055 2063.626212
101 clockwise 2 2.733393 2078.626645
102 clockwise 2 2.733496 2092.510714
103 clockwise 3 4.216855 2107.877992
104 clockwise 2 4.116769 2123.144872
105 clockwise 3 4.016730 2138.311958
106 clockwise 3 3.033320 2152.495721
107 clockwise 1 2.916912 2166.564826
108 clockwise 2 3.099931 2180.815042
109 clockwise 3 4.116572 2196.081659
110 clockwise 2 5.433701 2212.665433
111 clockwise 2 2.300363 2227.566135
112 clockwise 1 2.350039 2241.066245
113 clockwise 1 2.633663 2254.850222
114 clockwise 3 2.832957 2268.833864
115 clockwise 1 3.083308 2283.067603
116 clockwise 3 2.316810 2296.534782
117 clockwise 1 3.283409 2310.968761
118 clockwise 1 3.349488 2325.468799
119 clockwise 3 3.267084 2339.886640
120 clockwise 2 2.433530 2353.470137
