Experiment Began: Experiment Ended: 10:54:04

Total Trials = 120
Input Trial Order File: AudioVisCircMotionRatchet_TrialOrderList0.txt
In Phase Sound File: 10s_whiteNoiseBursts_In_Phase_200.wav
Out Phase Sound File: 10s_whiteNoiseBursts_Out_Phase_200.wav
Visual Movement Timing: 200 msec
Adaptor Time: 10 sec
ISI: 150 msec
ITI: 1 sec

Trial Rotation Sound RT ElapsedTime
001 counterClockwise 3 2.150186 12.333411
002 counterClockwise 1 2.316732 25.817163
003 counterClockwise 1 4.100472 41.101264
004 counterClockwise 2 10.450023 62.720394
005 counterClockwise 2 3.150241 77.054405
006 counterClockwise 3 3.917366 92.155765
007 counterClockwise 1 3.383712 106.723094
008 counterClockwise 2 2.933502 120.823792
009 counterClockwise 3 2.467594 134.475166
010 counterClockwise 1 3.500755 149.159621
011 counterClockwise 3 2.933789 168.826812
012 counterClockwise 1 3.402304 183.396007
013 counterClockwise 2 3.533745 198.113209
014 counterClockwise 1 3.132915 212.411974
015 counterClockwise 2 2.016825 225.596139
016 counterClockwise 2 2.500188 239.263291
017 counterClockwise 1 2.733644 253.180832
018 counterClockwise 1 3.817045 268.181590
019 counterClockwise 3 4.384040 283.733132
020 counterClockwise 2 6.500664 301.417446
021 counterClockwise 3 3.616635 325.051319
022 counterClockwise 2 3.600380 339.835946
023 counterClockwise 3 11.350418 362.371431
024 counterClockwise 2 2.599356 376.153452
025 counterClockwise 3 3.066791 390.403650
026 counterClockwise 3 3.083578 404.670932
027 counterClockwise 2 2.750489 418.605121
028 counterClockwise 1 3.350749 433.139689
029 counterClockwise 1 3.483824 447.807167
030 counterClockwise 3 4.750740 463.741082
031 counterClockwise 2 5.333754 486.308902
032 counterClockwise 3 3.583827 501.076422
033 counterClockwise 2 4.666563 516.926923
034 counterClockwise 3 3.283565 531.395869
035 counterClockwise 1 1.916198 544.494854
036 counterClockwise 3 2.233507 557.895413
037 counterClockwise 1 0.000000 589.080812
038 counterClockwise 2 3.984963 604.249892
039 counterClockwise 1 3.866849 619.300012
040 counterClockwise 2 3.634433 634.101345
041 counterClockwise 3 3.184548 654.036173
042 counterClockwise 2 3.901423 669.120920
043 counterClockwise 1 2.816591 683.121370
044 counterClockwise 2 2.233218 696.537428
045 counterClockwise 3 3.517168 711.238164
046 counterClockwise 1 2.916855 725.338684
047 counterClockwise 1 3.866883 740.389629
048 counterClockwise 3 2.367005 753.923846
049 counterClockwise 2 2.483615 767.591224
050 counterClockwise 3 3.250693 782.008574
051 counterClockwise 2 3.767210 803.192917
052 counterClockwise 1 3.050165 817.426774
053 counterClockwise 3 2.816897 831.427536
054 counterClockwise 1 2.333544 844.946410
055 counterClockwise 2 2.550011 858.679048
056 counterClockwise 1 3.300387 873.162399
057 counterClockwise 3 3.566922 887.896007
058 counterClockwise 1 7.300591 906.363640
059 counterClockwise 2 1.750659 919.281476
060 counterClockwise 3 3.749980 934.215321
061 counterClockwise 3 3.250716 952.933085
062 counterClockwise 1 3.033805 967.150593
063 counterClockwise 2 2.783904 981.118079
064 counterClockwise 1 1.616593 993.918201
065 counterClockwise 1 2.468479 1007.570663
066 counterClockwise 2 2.499823 1021.253917
067 counterClockwise 3 2.983488 1035.420238
068 counterClockwise 2 3.999953 1050.603539
069 counterClockwise 1 3.750578 1065.521503
070 counterClockwise 1 11.634146 1088.339071
071 counterClockwise 3 4.401502 1131.007908
072 counterClockwise 1 3.800010 1145.991395
073 counterClockwise 3 3.000417 1160.142415
074 counterClockwise 2 2.633416 1173.942894
075 counterClockwise 3 2.850146 1187.978559
076 counterClockwise 3 4.483472 1203.644897
077 counterClockwise 2 2.533260 1217.394071
078 counterClockwise 3 2.617081 1231.194741
079 counterClockwise 2 3.833871 1246.212226
080 counterClockwise 2 3.850211 1261.246231
081 counterClockwise 1 2.266548 1276.696552
082 counterClockwise 1 2.733519 1290.580490
083 counterClockwise 2 1.750632 1303.481857
084 counterClockwise 3 1.984059 1316.649086
085 counterClockwise 1 1.283391 1329.116201
086 counterClockwise 2 4.350295 1344.633500
087 counterClockwise 3 8.269142 1364.086528
088 counterClockwise 1 16.200248 1391.469292
089 counterClockwise 3 6.083519 1408.719000
090 counterClockwise 2 4.333620 1424.203333
091 counterClockwise 3 2.917392 1439.454397
092 counterClockwise 3 2.316855 1452.954841
093 counterClockwise 1 3.983864 1468.105931
094 counterClockwise 1 2.933482 1482.222786
095 counterClockwise 3 2.083458 1495.473593
096 counterClockwise 1 2.201026 1508.858300
097 counterClockwise 2 2.785555 1522.827682
098 counterClockwise 2 2.283497 1536.260987
099 counterClockwise 1 2.133513 1549.560360
100 counterClockwise 2 2.467193 1563.210841
101 counterClockwise 3 3.833967 1579.411917
102 counterClockwise 2 3.866999 1594.445949
103 counterClockwise 3 1.916764 1607.546666
104 counterClockwise 3 3.750868 1622.481353
105 counterClockwise 2 2.200079 1635.864883
106 counterClockwise 1 1.917199 1648.966023
107 counterClockwise 2 2.433246 1662.565768
108 counterClockwise 3 2.549785 1676.266545
109 counterClockwise 1 2.133522 1689.585987
110 counterClockwise 1 2.716780 1703.485761
111 counterClockwise 3 1.766955 1717.935639
112 counterClockwise 2 2.283425 1731.402072
113 counterClockwise 3 2.133824 1744.702997
114 counterClockwise 3 2.883695 1758.770121
115 counterClockwise 2 6.333595 1776.287316
116 counterClockwise 2 3.233722 1790.704865
117 counterClockwise 1 2.950092 1804.805605
118 counterClockwise 1 2.067234 1818.056555
119 counterClockwise 2 2.183660 1831.407037
120 counterClockwise 1 1.233651 1843.807809
