Experiment Began: Experiment Ended: 16:46:43

Total Trials = 120
Input Trial Order File: AudioVisCircMotionRatchet_TrialOrderList5.txt
In Phase Sound File: 10s_whiteNoiseBursts_In_Phase_250.wav
Out Phase Sound File: 10s_whiteNoiseBursts_Out_Phase_250.wav
Visual Movement Timing: 250 msec
Adaptor Time: 10 sec
ISI: 150 msec
ITI: 1 sec

Trial Rotation Sound RT ElapsedTime
001 clockwise 3 4.484409 14.667725
002 clockwise 1 5.000532 30.884903
003 clockwise 2 4.116595 46.168362
004 clockwise 3 2.916939 60.269048
005 clockwise 3 2.700463 74.153105
006 clockwise 1 3.700596 89.036968
007 clockwise 3 3.834081 104.054438
008 clockwise 2 3.133596 118.354657
009 clockwise 1 5.816762 135.356721
010 clockwise 2 7.233154 153.772814
011 clockwise 1 3.616815 179.872565
012 clockwise 1 5.483574 196.540011
013 clockwise 2 3.168045 210.875284
014 clockwise 3 4.566741 226.607732
015 clockwise 1 4.700273 242.474926
016 clockwise 3 5.034221 258.692945
017 clockwise 2 4.100676 273.977085
018 clockwise 3 3.867337 289.028227
019 clockwise 2 8.250040 308.446858
020 clockwise 3 6.782717 326.412772
021 clockwise 3 7.916840 359.080211
022 clockwise 2 12.368263 382.632398
023 clockwise 3 8.801286 402.616921
024 clockwise 1 5.567342 419.350570
025 clockwise 2 5.900957 436.435002
026 clockwise 2 5.683972 453.285679
027 clockwise 1 3.950163 468.421061
028 clockwise 1 6.183038 485.786879
029 clockwise 2 6.700178 503.653475
030 clockwise 1 6.733568 521.536999
031 clockwise 1 7.000729 560.121895
032 clockwise 2 7.100966 578.389983
033 clockwise 3 10.184411 599.757747
034 clockwise 3 7.550692 618.491955
035 clockwise 2 10.102683 639.778254
036 clockwise 1 12.883371 663.844053
037 clockwise 1 6.700387 681.727588
038 clockwise 2 5.433558 698.344474
039 clockwise 1 14.501048 724.029211
040 clockwise 3 17.101697 752.314188
041 clockwise 1 4.617174 778.965364
042 clockwise 3 9.369214 799.518002
043 clockwise 3 8.266216 818.967698
044 clockwise 1 10.333621 840.484212
045 clockwise 2 9.166991 860.818021
046 clockwise 3 7.333663 879.335646
047 clockwise 1 4.799695 895.302579
048 clockwise 3 8.451388 914.937841
049 clockwise 1 6.784332 932.905469
050 clockwise 3 13.836423 957.908642
051 clockwise 2 5.950446 1019.824633
052 clockwise 2 6.867080 1037.875236
053 clockwise 1 6.833951 1055.876440
054 clockwise 2 5.616697 1072.676596
055 clockwise 2 5.817336 1089.677624
056 clockwise 3 6.367789 1107.212573
057 clockwise 2 6.584095 1124.980209
058 clockwise 1 6.650420 1142.815937
059 clockwise 3 10.532926 1164.531520
060 clockwise 2 5.333677 1181.048870
061 clockwise 2 5.817127 1213.216380
062 clockwise 2 17.400692 1241.800672
063 clockwise 1 10.334228 1263.301966
064 clockwise 2 5.083534 1279.569107
065 clockwise 3 6.584453 1297.320654
066 clockwise 3 7.633848 1316.139106
067 clockwise 1 11.599420 1338.921476
068 clockwise 1 16.117959 1366.223028
069 clockwise 2 5.917076 1383.323678
070 clockwise 2 5.900544 1400.408186
071 clockwise 1 7.633889 1432.992578
072 clockwise 2 4.883628 1449.060062
073 clockwise 3 6.550491 1466.777681
074 clockwise 1 6.783816 1484.746581
075 clockwise 2 8.232871 1504.161847
076 clockwise 1 7.700397 1523.028961
077 clockwise 3 5.400592 1539.613250
078 clockwise 3 9.634014 1560.431029
079 clockwise 1 16.318048 1587.932493
080 clockwise 2 7.950678 1607.066505
081 clockwise 3 13.169033 1640.786330
082 clockwise 1 12.099277 1664.069336
083 clockwise 3 5.849917 1681.102492
084 clockwise 3 5.684212 1697.970469
085 clockwise 2 5.200521 1714.354223
086 clockwise 3 8.167269 1733.705009
087 clockwise 1 13.318208 1758.206689
088 clockwise 3 14.334760 1783.725437
089 clockwise 2 8.701680 1803.610724
090 clockwise 1 4.766309 1819.560245
091 clockwise 1 5.383347 1839.026378
092 clockwise 3 10.616471 1860.810366
093 clockwise 3 7.200531 1879.178121
094 clockwise 1 12.084139 1902.429404
095 clockwise 2 8.584505 1922.197609
096 clockwise 1 6.384013 1939.764945
097 clockwise 2 7.683858 1958.632066
098 clockwise 1 4.617455 1974.434719
099 clockwise 3 7.582697 1993.200225
100 clockwise 3 7.800382 2012.167467
101 clockwise 2 3.383706 2031.218447
102 clockwise 3 13.867604 2056.253046
103 clockwise 1 12.634352 2080.054657
104 clockwise 1 8.085110 2099.323454
105 clockwise 3 6.786201 2117.292798
106 clockwise 2 7.033094 2135.509138
107 clockwise 1 9.000285 2155.675324
108 clockwise 3 5.283833 2172.142248
109 clockwise 2 3.916948 2187.242823
110 clockwise 1 6.216727 2204.643361
111 clockwise 1 8.484764 2225.762124
112 clockwise 3 9.367395 2246.312825
113 clockwise 2 9.901559 2267.398291
114 clockwise 3 10.566535 2289.149935
115 clockwise 2 10.483517 2310.816516
116 clockwise 1 11.268065 2333.251367
117 clockwise 2 8.533660 2352.952257
118 clockwise 3 8.301174 2372.437224
119 clockwise 2 8.684462 2392.288312
120 clockwise 2 7.801266 2411.256414
