Experiment Began: Experiment Ended: 16:13:03

Total Trials = 120
Input Trial Order File: AudioVisCircMotionRatchet_TrialOrderList5.txt
In Phase Sound File: 10s_whiteNoiseBursts_In_Phase_200.wav
Out Phase Sound File: 10s_whiteNoiseBursts_Out_Phase_200.wav
Visual Movement Timing: 200 msec
Adaptor Time: 10 sec
ISI: 150 msec
ITI: 1 sec

Trial Rotation Sound RT ElapsedTime
001 clockwise 3 2.133278 12.316773
002 clockwise 1 4.750321 28.252931
003 clockwise 2 6.916590 46.352117
004 clockwise 3 4.666913 62.202287
005 clockwise 3 4.067046 77.453264
006 clockwise 1 3.134061 91.771245
007 clockwise 3 2.833822 105.788616
008 clockwise 2 2.867350 119.839427
009 clockwise 1 2.900551 133.906595
010 clockwise 2 2.600575 147.690790
011 clockwise 1 3.583281 189.076019
012 clockwise 1 3.234167 203.476637
013 clockwise 2 5.034212 219.677990
014 clockwise 3 3.267068 234.128783
015 clockwise 1 3.300974 248.614208
016 clockwise 3 2.033413 261.831679
017 clockwise 2 2.634014 275.632790
018 clockwise 3 2.736025 289.552582
019 clockwise 2 2.100081 302.818858
020 clockwise 3 2.500144 316.501554
021 clockwise 3 2.316664 368.120396
022 clockwise 2 4.267583 383.572189
023 clockwise 3 2.517054 397.256361
024 clockwise 1 3.267407 411.708416
025 clockwise 2 4.500421 427.394009
026 clockwise 2 2.849887 441.410054
027 clockwise 1 2.934065 455.527223
028 clockwise 1 2.416565 469.127459
029 clockwise 2 2.850633 483.162121
030 clockwise 1 3.166978 497.512844
031 clockwise 1 2.933538 533.013705
032 clockwise 2 2.884575 547.082094
033 clockwise 3 4.070071 562.319132
034 clockwise 3 2.550158 576.035212
035 clockwise 2 2.100148 589.302299
036 clockwise 1 3.000583 603.486903
037 clockwise 1 2.666758 617.337146
038 clockwise 2 2.600332 631.121613
039 clockwise 1 2.733888 645.039073
040 clockwise 3 2.650584 658.873343
041 clockwise 1 3.216255 724.875375
042 clockwise 3 3.000189 739.059270
043 clockwise 3 3.383908 753.610877
044 clockwise 1 3.984199 768.778740
045 clockwise 2 3.117474 783.080285
046 clockwise 3 2.717242 796.981071
047 clockwise 1 3.034170 811.183785
048 clockwise 3 3.417220 825.769581
049 clockwise 1 2.983061 839.934874
050 clockwise 3 2.100091 853.218529
051 clockwise 2 3.383594 897.953765
052 clockwise 2 3.017126 912.154843
053 clockwise 1 2.900498 926.222643
054 clockwise 2 1.833650 939.240203
055 clockwise 2 3.133712 953.557666
056 clockwise 3 4.383782 969.126841
057 clockwise 2 3.749844 984.042540
058 clockwise 1 3.167104 998.393251
059 clockwise 3 2.783671 1012.360716
060 clockwise 2 3.083843 1026.628229
061 clockwise 2 3.400863 1090.963158
062 clockwise 2 2.884374 1105.014473
063 clockwise 1 2.550758 1118.750380
064 clockwise 2 2.349718 1132.283010
065 clockwise 3 2.017163 1145.466166
066 clockwise 3 3.016961 1159.666824
067 clockwise 1 2.266994 1173.117565
068 clockwise 1 2.583518 1186.868286
069 clockwise 2 2.233352 1200.285755
070 clockwise 2 2.684039 1214.137143
071 clockwise 1 3.800354 1318.324447
072 clockwise 2 3.350428 1332.858848
073 clockwise 3 1.683303 1345.709515
074 clockwise 1 3.183933 1360.077532
075 clockwise 2 2.534099 1373.795226
076 clockwise 1 2.683984 1387.646050
077 clockwise 3 2.485257 1401.298468
078 clockwise 3 2.499968 1414.982027
079 clockwise 1 3.100308 1429.265007
080 clockwise 2 2.334199 1442.766120
081 clockwise 3 3.084175 1516.385113
082 clockwise 1 2.300058 1529.852236
083 clockwise 3 2.167280 1543.187042
084 clockwise 3 3.350193 1557.722616
085 clockwise 2 2.716650 1571.622166
086 clockwise 3 4.300791 1587.105789
087 clockwise 1 2.216854 1600.489886
088 clockwise 3 1.983476 1613.657150
089 clockwise 2 2.500053 1627.341176
090 clockwise 1 2.750381 1641.258940
091 clockwise 1 3.183486 1708.193815
092 clockwise 3 3.450147 1722.829347
093 clockwise 3 3.950070 1737.961816
094 clockwise 1 3.566833 1752.712086
095 clockwise 2 2.850772 1766.747371
096 clockwise 1 2.333736 1780.248073
097 clockwise 2 3.700785 1795.116204
098 clockwise 1 2.733723 1809.033744
099 clockwise 3 2.800578 1823.018239
100 clockwise 3 2.666865 1836.868792
101 clockwise 2 2.666890 1891.420959
102 clockwise 3 2.383447 1904.971717
103 clockwise 1 2.383564 1918.539262
104 clockwise 1 3.317507 1933.024350
105 clockwise 3 3.300878 1947.509032
106 clockwise 2 2.683859 1961.360111
107 clockwise 1 2.468756 1975.012784
108 clockwise 3 2.383069 1988.578882
109 clockwise 2 2.817038 2002.562345
110 clockwise 1 2.916678 2016.645679
111 clockwise 1 2.350468 2032.513561
112 clockwise 3 3.250585 2046.931003
113 clockwise 2 2.100504 2060.215126
114 clockwise 3 2.800810 2074.182880
115 clockwise 2 2.933916 2088.300779
116 clockwise 1 1.867017 2101.351716
117 clockwise 2 3.416681 2115.954592
118 clockwise 3 3.683327 2130.803676
119 clockwise 2 2.717524 2144.705063
120 clockwise 2 2.433496 2158.322560
