Experiment Began: Experiment Ended: 10:14:08

Total Trials = 120
Input Trial Order File: AudioVisCircMotionRatchet_TrialOrderList2.txt
In Phase Sound File: 10s_whiteNoiseBursts_In_Phase_250.wav
Out Phase Sound File: 10s_whiteNoiseBursts_Out_Phase_250.wav
Visual Movement Timing: 250 msec
Adaptor Time: 10 sec
ISI: 150 msec
ITI: 1 sec

Trial Rotation Sound RT ElapsedTime
001 counterClockwise 2 4.517125 14.702870
002 counterClockwise 1 5.115946 31.001849
003 counterClockwise 2 5.416376 47.601352
004 counterClockwise 1 3.850591 62.635231
005 counterClockwise 2 5.366987 79.185605
006 counterClockwise 3 5.766343 96.102118
007 counterClockwise 3 4.767102 112.019616
008 counterClockwise 2 5.367006 128.537867
009 counterClockwise 3 2.983719 142.671865
010 counterClockwise 1 4.199807 158.021613
011 counterClockwise 2 3.533198 204.358287
012 counterClockwise 1 3.999682 219.541423
013 counterClockwise 2 4.832672 235.556919
014 counterClockwise 1 4.700810 251.424504
015 counterClockwise 2 6.667199 269.258593
016 counterClockwise 1 5.583978 286.026495
017 counterClockwise 3 5.234728 302.444796
018 counterClockwise 1 0.450440 314.078500
019 counterClockwise 3 5.050135 330.311782
020 counterClockwise 3 3.933495 345.428836
021 counterClockwise 1 5.549794 388.681574
022 counterClockwise 3 4.582969 404.447500
023 counterClockwise 1 4.533555 420.147209
024 counterClockwise 3 3.483697 434.814391
025 counterClockwise 2 4.483524 450.481797
026 counterClockwise 2 4.417072 466.065809
027 counterClockwise 3 5.383799 482.616249
028 counterClockwise 2 6.868453 500.667978
029 counterClockwise 1 3.333489 515.184474
030 counterClockwise 3 3.600502 529.968728
031 counterClockwise 2 4.236649 548.272119
032 counterClockwise 3 4.549777 564.005075
033 counterClockwise 1 5.065669 580.253612
034 counterClockwise 2 4.516763 595.953764
035 counterClockwise 1 6.417339 613.554689
036 counterClockwise 2 3.283844 628.022357
037 counterClockwise 1 5.216869 644.422763
038 counterClockwise 3 4.700498 660.307047
039 counterClockwise 3 4.117540 675.607817
040 counterClockwise 2 3.350157 690.141471
041 counterClockwise 2 2.433149 757.177270
042 counterClockwise 3 5.632408 773.992507
043 counterClockwise 2 4.783636 789.943002
044 counterClockwise 2 3.833427 804.959928
045 counterClockwise 1 3.950501 820.077816
046 counterClockwise 3 8.633307 839.894653
047 counterClockwise 1 6.984431 858.046548
048 counterClockwise 2 6.016562 875.229626
049 counterClockwise 1 2.966818 889.380531
050 counterClockwise 3 2.733884 903.298277
051 counterClockwise 3 3.933592 919.883961
052 counterClockwise 1 2.816432 933.883885
053 counterClockwise 3 3.032168 948.082031
054 counterClockwise 1 7.233207 966.482261
055 counterClockwise 3 2.750388 980.415856
056 counterClockwise 1 6.817205 998.416512
057 counterClockwise 2 4.866983 1014.467430
058 counterClockwise 1 3.200495 1028.851621
059 counterClockwise 2 2.766522 1042.802575
060 counterClockwise 3 3.000631 1056.986335
061 counterClockwise 3 2.366911 1078.836697
062 counterClockwise 2 5.336691 1095.356783
063 counterClockwise 3 4.666789 1111.206799
064 counterClockwise 2 7.298510 1129.671518
065 counterClockwise 2 4.482851 1145.338126
066 counterClockwise 1 4.466805 1160.971755
067 counterClockwise 3 5.717238 1177.856208
068 counterClockwise 1 4.317374 1193.356925
069 counterClockwise 3 4.267110 1208.807852
070 counterClockwise 2 9.544192 1229.535736
071 counterClockwise 3 0.533325 1242.558835
072 counterClockwise 1 2.283404 1256.009520
073 counterClockwise 2 2.466860 1269.643354
074 counterClockwise 1 2.717154 1283.546630
075 counterClockwise 3 2.416821 1297.129696
076 counterClockwise 1 2.732784 1311.028462
077 counterClockwise 1 2.033086 1324.244738
078 counterClockwise 3 3.934104 1339.362239
079 counterClockwise 1 4.100454 1354.646137
080 counterClockwise 2 3.216737 1369.030020
081 counterClockwise 1 5.467470 1420.081552
082 counterClockwise 2 5.300679 1436.565880
083 counterClockwise 1 3.616773 1451.349214
084 counterClockwise 3 3.335942 1465.869081
085 counterClockwise 2 2.582923 1479.635346
086 counterClockwise 2 4.215584 1495.034428
087 counterClockwise 3 4.966394 1511.184102
088 counterClockwise 1 5.933541 1528.300796
089 counterClockwise 2 4.183787 1543.668527
090 counterClockwise 3 4.700106 1559.552062
091 counterClockwise 2 3.917202 1577.553269
092 counterClockwise 1 4.500175 1593.219970
093 counterClockwise 1 4.950344 1609.337408
094 counterClockwise 3 4.700506 1625.221606
095 counterClockwise 1 3.666850 1640.071889
096 counterClockwise 3 6.103294 1657.358689
097 counterClockwise 3 3.033430 1671.574935
098 counterClockwise 2 6.382929 1689.140430
099 counterClockwise 2 6.567644 1706.890967
100 counterClockwise 3 4.916776 1722.991048
101 counterClockwise 3 2.983391 1748.408451
102 counterClockwise 1 4.417004 1764.008946
103 counterClockwise 3 6.317498 1781.510043
104 counterClockwise 2 6.567169 1799.260692
105 counterClockwise 1 5.234009 1815.678352
106 counterClockwise 2 5.503218 1832.365145
107 counterClockwise 1 4.649511 1848.180798
108 counterClockwise 3 4.882575 1864.246654
109 counterClockwise 1 5.266609 1880.679836
110 counterClockwise 3 4.433729 1896.296824
111 counterClockwise 3 3.633749 1915.164430
112 counterClockwise 1 4.500440 1930.848626
113 counterClockwise 2 3.834294 1945.866369
114 counterClockwise 2 3.334015 1960.383874
115 counterClockwise 3 5.250399 1976.817118
116 counterClockwise 1 3.050160 1991.051139
117 counterClockwise 2 4.436762 2006.655076
118 counterClockwise 2 5.115927 2022.937598
119 counterClockwise 1 3.899346 2038.020122
120 counterClockwise 2 2.149945 2051.353154
