Experiment Began: Experiment Ended: 10:26:53

Total Trials = 120
Input Trial Order File: AudioVisCircMotionRatchet_TrialOrderList3.txt
In Phase Sound File: 10s_whiteNoiseBursts_In_Phase_200.wav
Out Phase Sound File: 10s_whiteNoiseBursts_Out_Phase_200.wav
Visual Movement Timing: 200 msec
Adaptor Time: 10 sec
ISI: 150 msec
ITI: 1 sec

Trial Rotation Sound RT ElapsedTime
001 counterClockwise 1 4.166996 14.350465
002 counterClockwise 1 2.233575 27.767861
003 counterClockwise 2 2.900337 41.835192
004 counterClockwise 1 3.550405 56.569289
005 counterClockwise 3 4.467027 72.203482
006 counterClockwise 3 3.100414 86.487891
007 counterClockwise 1 3.052271 100.723973
008 counterClockwise 3 10.381830 122.289014
009 counterClockwise 1 3.550129 137.006599
010 counterClockwise 2 2.750210 150.940623
011 counterClockwise 1 4.950550 170.991709
012 counterClockwise 2 2.750733 184.926111
013 counterClockwise 3 3.533949 199.643300
014 counterClockwise 2 3.300672 214.127657
015 counterClockwise 1 2.700483 228.011586
016 counterClockwise 3 2.500402 241.695582
017 counterClockwise 1 2.350700 255.213354
018 counterClockwise 3 3.116944 269.515427
019 counterClockwise 2 2.133456 282.832192
020 counterClockwise 1 5.633130 299.648032
021 counterClockwise 2 2.650614 336.699386
022 counterClockwise 3 3.983625 351.849695
023 counterClockwise 2 3.184152 366.217742
024 counterClockwise 3 3.900299 381.301715
025 counterClockwise 1 3.333729 395.819212
026 counterClockwise 2 2.967551 409.953816
027 counterClockwise 2 4.366922 425.487571
028 counterClockwise 3 2.935404 439.607062
029 counterClockwise 2 1.866613 452.656455
030 counterClockwise 3 2.466564 466.306044
031 counterClockwise 2 3.017924 481.306990
032 counterClockwise 2 3.116495 495.607155
033 counterClockwise 3 5.250172 512.024733
034 counterClockwise 1 5.150710 528.359690
035 counterClockwise 3 3.883672 543.426702
036 counterClockwise 2 4.167010 558.777583
037 counterClockwise 3 4.233538 574.178344
038 counterClockwise 1 3.233833 588.579709
039 counterClockwise 3 6.333697 606.098607
040 counterClockwise 1 3.232853 620.514751
041 counterClockwise 2 2.300426 635.081332
042 counterClockwise 3 2.800699 649.065340
043 counterClockwise 1 11.068427 671.300973
044 counterClockwise 2 2.467254 684.952335
045 counterClockwise 1 2.100436 698.236535
046 counterClockwise 3 2.650398 712.053915
047 counterClockwise 3 6.984273 730.221908
048 counterClockwise 1 6.969227 748.374707
049 counterClockwise 3 3.049674 762.607356
050 counterClockwise 3 4.116183 777.906749
051 counterClockwise 2 2.716875 800.207838
052 counterClockwise 1 2.033693 813.425439
053 counterClockwise 2 2.100202 826.709182
054 counterClockwise 2 1.883691 839.776860
055 counterClockwise 1 2.433221 853.394190
056 counterClockwise 1 5.033764 869.595063
057 counterClockwise 3 2.366793 883.129375
058 counterClockwise 2 6.350672 900.663944
059 counterClockwise 2 3.866886 915.699375
060 counterClockwise 1 4.033676 930.915924
061 counterClockwise 3 3.117080 946.332233
062 counterClockwise 1 2.316829 959.832050
063 counterClockwise 2 1.716672 972.732585
064 counterClockwise 3 2.050815 985.967466
065 counterClockwise 1 3.216797 1000.368589
066 counterClockwise 3 2.683527 1014.235313
067 counterClockwise 1 2.017019 1027.436181
068 counterClockwise 2 2.467446 1041.070510
069 counterClockwise 2 1.650324 1053.904687
070 counterClockwise 3 2.317002 1067.405368
071 counterClockwise 2 2.333820 1083.074361
072 counterClockwise 3 2.349554 1096.606692
073 counterClockwise 3 2.950450 1110.723533
074 counterClockwise 1 1.583593 1123.490542
075 counterClockwise 3 4.917796 1139.591982
076 counterClockwise 3 2.100183 1152.875995
077 counterClockwise 2 1.850070 1165.909807
078 counterClockwise 1 2.201160 1179.294903
079 counterClockwise 1 2.567164 1193.045463
080 counterClockwise 3 3.583494 1207.795815
081 counterClockwise 1 2.449988 1222.746375
082 counterClockwise 2 2.200584 1236.132787
083 counterClockwise 2 3.533133 1250.848942
084 counterClockwise 1 2.566621 1264.598435
085 counterClockwise 3 1.383767 1277.165832
086 counterClockwise 2 1.816804 1290.166415
087 counterClockwise 2 2.817010 1304.150645
088 counterClockwise 1 4.950208 1320.268311
089 counterClockwise 1 2.517120 1333.969452
090 counterClockwise 2 2.334058 1347.486968
091 counterClockwise 1 3.233632 1377.420787
092 counterClockwise 1 2.233833 1390.838409
093 counterClockwise 2 2.166638 1404.174251
094 counterClockwise 1 1.433277 1416.790526
095 counterClockwise 3 2.050243 1430.006978
096 counterClockwise 1 2.500561 1443.674244
097 counterClockwise 1 4.467462 1459.325590
098 counterClockwise 2 2.250758 1472.743127
099 counterClockwise 3 1.800660 1485.710621
100 counterClockwise 3 2.617175 1499.511476
101 counterClockwise 2 3.149809 1516.428287
102 counterClockwise 1 2.967080 1530.579160
103 counterClockwise 3 1.983461 1543.746441
104 counterClockwise 2 2.418293 1557.348755
105 counterClockwise 2 1.266645 1569.799027
106 counterClockwise 1 2.582961 1583.564897
107 counterClockwise 1 1.283708 1596.032028
108 counterClockwise 3 2.850083 1610.065233
109 counterClockwise 1 1.933776 1623.182855
110 counterClockwise 2 3.034142 1637.400518
111 counterClockwise 3 3.233762 1652.818157
112 counterClockwise 3 1.966761 1665.968394
113 counterClockwise 2 2.000395 1679.152822
114 counterClockwise 2 1.650572 1691.970107
115 counterClockwise 3 2.583768 1705.737667
116 counterClockwise 2 2.167133 1719.088272
117 counterClockwise 3 2.483693 1732.757279
118 counterClockwise 3 1.000031 1744.940265
119 counterClockwise 1 2.733449 1758.856494
120 counterClockwise 2 1.567220 1771.590042
