Experiment Began: Experiment Ended: 12:18:27

Total Trials = 120
Input Trial Order File: AudioVisCircMotionRatchet_TrialOrderList5.txt
In Phase Sound File: 10s_whiteNoiseBursts_In_Phase_200.wav
Out Phase Sound File: 10s_whiteNoiseBursts_Out_Phase_200.wav
Visual Movement Timing: 200 msec
Adaptor Time: 10 sec
ISI: 150 msec
ITI: 1 sec

Trial Rotation Sound RT ElapsedTime
001 clockwise 3 4.684036 14.867784
002 clockwise 1 5.699848 31.734605
003 clockwise 2 4.134125 47.052698
004 clockwise 3 3.985801 62.221995
005 clockwise 3 3.666527 77.071516
006 clockwise 1 4.082789 92.337622
007 clockwise 3 4.083279 107.604438
008 clockwise 2 5.334148 124.105857
009 clockwise 1 3.800472 139.089655
010 clockwise 2 5.000895 155.274265
011 clockwise 1 3.600161 183.591830
012 clockwise 1 3.616778 198.392469
013 clockwise 2 4.017738 213.594001
014 clockwise 3 3.701994 228.479611
015 clockwise 1 3.200250 242.863347
016 clockwise 3 4.683249 258.712547
017 clockwise 2 3.849831 273.745592
018 clockwise 3 3.533814 288.446689
019 clockwise 2 3.250320 302.863734
020 clockwise 3 3.617142 317.664573
021 clockwise 3 3.784230 343.832565
022 clockwise 2 3.500215 358.516002
023 clockwise 3 4.317341 374.017174
024 clockwise 1 5.534013 390.734631
025 clockwise 2 3.600239 405.518457
026 clockwise 2 4.016999 420.720751
027 clockwise 1 4.416344 436.319846
028 clockwise 1 4.217428 451.720801
029 clockwise 2 4.417120 467.321512
030 clockwise 1 5.133779 483.639081
031 clockwise 1 4.450659 508.223835
032 clockwise 2 3.800449 523.207764
033 clockwise 3 4.550056 538.941736
034 clockwise 3 5.000408 555.109123
035 clockwise 2 5.069385 571.362428
036 clockwise 1 5.000241 587.545690
037 clockwise 1 5.283215 604.011458
038 clockwise 2 4.066703 619.245225
039 clockwise 1 4.217335 634.646495
040 clockwise 3 5.400385 651.230668
041 clockwise 1 3.550546 679.614969
042 clockwise 3 4.433991 695.232258
043 clockwise 3 4.500783 710.899910
044 clockwise 1 5.967489 728.050863
045 clockwise 2 6.819417 746.053634
046 clockwise 3 5.366412 762.603408
047 clockwise 1 5.117028 778.903237
048 clockwise 3 4.650068 794.736548
049 clockwise 1 5.300681 811.221199
050 clockwise 3 4.300573 826.705471
051 clockwise 2 3.717007 865.173037
052 clockwise 2 4.666950 881.007176
053 clockwise 1 3.867431 896.041840
054 clockwise 2 4.183664 911.409030
055 clockwise 2 4.533167 927.127452
056 clockwise 3 4.549945 942.843791
057 clockwise 2 4.050179 958.043952
058 clockwise 1 5.667040 974.894561
059 clockwise 3 4.567005 990.645342
060 clockwise 2 5.417302 1007.229882
061 clockwise 2 3.684268 1037.214635
062 clockwise 2 3.550356 1051.948484
063 clockwise 1 4.617309 1067.749154
064 clockwise 2 3.750592 1082.683563
065 clockwise 3 4.367414 1098.219267
066 clockwise 3 3.516621 1112.918637
067 clockwise 1 6.917239 1131.001909
068 clockwise 1 4.200600 1146.386303
069 clockwise 2 4.416634 1161.986442
070 clockwise 2 4.967693 1178.137910
071 clockwise 1 3.767124 1201.505335
072 clockwise 2 5.867421 1218.556442
073 clockwise 3 4.550676 1234.290651
074 clockwise 1 4.550127 1250.024552
075 clockwise 2 4.100756 1265.310621
076 clockwise 1 3.750136 1280.243686
077 clockwise 3 4.500346 1295.926626
078 clockwise 3 5.066703 1312.176549
079 clockwise 1 5.284040 1328.628032
080 clockwise 2 4.267018 1344.078573
081 clockwise 3 2.867087 1377.864095
082 clockwise 1 3.250296 1392.298037
083 clockwise 3 5.367499 1408.832664
084 clockwise 3 4.635902 1424.635063
085 clockwise 2 3.816909 1439.635222
086 clockwise 3 4.583409 1455.384468
087 clockwise 1 4.100472 1470.651936
088 clockwise 3 5.000503 1486.819449
089 clockwise 2 4.750361 1502.736769
090 clockwise 1 5.633356 1519.554019
091 clockwise 1 4.450667 1553.738591
092 clockwise 3 8.617328 1573.523340
093 clockwise 3 6.451084 1591.157974
094 clockwise 1 3.817283 1606.143190
095 clockwise 2 5.999323 1623.325212
096 clockwise 1 3.600157 1638.109234
097 clockwise 2 4.150115 1653.442983
098 clockwise 1 3.800065 1668.427193
099 clockwise 3 3.816763 1683.428016
100 clockwise 3 3.300347 1697.912271
101 clockwise 2 5.567000 1755.297300
102 clockwise 3 4.083992 1770.565398
103 clockwise 1 4.550321 1786.300896
104 clockwise 1 4.200233 1801.667030
105 clockwise 3 4.349991 1817.183152
106 clockwise 2 3.533675 1831.900717
107 clockwise 1 3.200428 1846.268226
108 clockwise 3 3.150246 1860.585378
109 clockwise 2 2.850150 1874.619320
110 clockwise 1 3.384050 1889.187199
111 clockwise 1 3.850378 1913.421679
112 clockwise 3 3.633964 1928.239120
113 clockwise 2 3.985807 1943.408411
114 clockwise 3 3.699852 1958.274822
115 clockwise 2 3.600243 1973.058030
116 clockwise 1 3.200182 1987.424396
117 clockwise 2 3.316886 2001.925055
118 clockwise 3 3.750157 2016.860387
119 clockwise 2 4.250321 2032.294647
120 clockwise 2 3.317107 2046.795702
