Experiment Began: Experiment Ended: 16:18:48

Total Trials = 120
Input Trial Order File: AudioVisCircMotionRatchet_TrialOrderList7.txt
In Phase Sound File: 10s_whiteNoiseBursts_In_Phase_250.wav
Out Phase Sound File: 10s_whiteNoiseBursts_Out_Phase_250.wav
Visual Movement Timing: 250 msec
Adaptor Time: 10 sec
ISI: 150 msec
ITI: 1 sec

Trial Rotation Sound RT ElapsedTime
001 clockwise 3 5.000625 15.184150
002 clockwise 3 2.700069 29.067786
003 clockwise 1 2.916886 43.168750
004 clockwise 2 3.050471 57.404394
005 clockwise 3 2.532535 71.120078
006 clockwise 3 2.600177 84.903151
007 clockwise 1 6.117570 102.204041
008 clockwise 2 4.250800 117.638446
009 clockwise 2 4.267205 133.072418
010 clockwise 1 4.400386 148.656282
011 clockwise 3 4.183650 169.990351
012 clockwise 2 4.200499 185.374619
013 clockwise 1 3.600435 200.141857
014 clockwise 1 3.400603 214.726116
015 clockwise 2 2.717341 228.628414
016 clockwise 3 3.382982 243.194515
017 clockwise 3 3.433487 257.811009
018 clockwise 1 2.133495 271.127980
019 clockwise 2 2.600481 284.912408
020 clockwise 1 2.217199 298.313241
021 clockwise 1 2.333410 312.730442
022 clockwise 2 2.433871 326.347938
023 clockwise 1 3.067347 340.598977
024 clockwise 3 4.667427 356.450281
025 clockwise 3 2.033812 369.651180
026 clockwise 1 1.718878 382.536865
027 clockwise 2 2.067060 395.786867
028 clockwise 2 2.617147 409.586768
029 clockwise 3 2.966226 423.736807
030 clockwise 2 3.333275 438.253191
031 clockwise 3 2.816824 555.688230
032 clockwise 1 2.700061 569.572134
033 clockwise 3 3.383468 584.139529
034 clockwise 3 3.951948 599.275431
035 clockwise 1 2.916547 613.375431
036 clockwise 2 3.966571 628.525004
037 clockwise 2 3.500458 643.208792
038 clockwise 1 4.366400 658.758633
039 clockwise 1 2.517245 672.460026
040 clockwise 2 2.683529 686.327065
041 clockwise 3 2.483466 727.261483
042 clockwise 3 2.533569 740.962125
043 clockwise 2 4.200466 756.346282
044 clockwise 3 2.650518 770.180557
045 clockwise 3 2.218858 783.566126
046 clockwise 2 2.583743 797.316475
047 clockwise 1 2.199625 810.698582
048 clockwise 2 2.999961 824.881766
049 clockwise 1 2.550377 838.599095
050 clockwise 3 3.200370 852.983386
051 clockwise 3 3.100284 976.268342
052 clockwise 1 2.950521 990.402270
053 clockwise 1 2.266697 1003.835927
054 clockwise 2 2.883540 1017.888280
055 clockwise 1 3.366350 1032.437370
056 clockwise 2 3.083501 1046.687330
057 clockwise 3 3.717014 1061.571080
058 clockwise 2 3.250053 1076.004832
059 clockwise 1 2.483466 1089.672280
060 clockwise 2 2.433515 1103.289599
061 clockwise 1 3.950723 1119.074438
062 clockwise 2 3.134493 1133.376690
063 clockwise 1 3.700384 1148.259978
064 clockwise 1 2.500574 1161.944416
065 clockwise 3 7.983673 1181.128929
066 clockwise 2 4.733058 1197.011719
067 clockwise 3 2.916796 1211.078293
068 clockwise 3 5.783394 1228.011981
069 clockwise 2 7.467783 1246.629977
070 clockwise 3 4.917439 1262.730927
071 clockwise 1 3.183861 1277.748252
072 clockwise 3 2.400811 1291.332632
073 clockwise 2 0.350217 1302.866071
074 clockwise 1 2.767122 1316.816921
075 clockwise 3 3.567476 1331.568164
076 clockwise 3 2.233710 1344.985252
077 clockwise 1 3.733511 1359.904133
078 clockwise 2 4.332960 1375.419777
079 clockwise 1 3.667461 1390.270628
080 clockwise 2 10.367464 1411.821474
081 clockwise 2 1.883507 1510.089700
082 clockwise 3 2.233732 1523.507174
083 clockwise 1 2.950398 1537.640910
084 clockwise 2 3.718792 1552.526391
085 clockwise 1 2.383870 1566.093689
086 clockwise 2 2.666904 1579.943920
087 clockwise 2 3.366834 1594.494498
088 clockwise 3 8.050855 1613.729464
089 clockwise 3 2.733363 1627.646587
090 clockwise 1 8.100908 1646.931467
091 clockwise 3 1.783410 1727.618571
092 clockwise 1 2.233570 1741.034803
093 clockwise 1 2.250165 1754.467872
094 clockwise 3 3.184299 1768.819150
095 clockwise 1 2.800335 1782.802943
096 clockwise 2 2.483567 1796.470399
097 clockwise 3 2.400059 1810.054081
098 clockwise 2 3.516890 1824.738099
099 clockwise 1 2.716838 1838.638790
100 clockwise 2 2.883869 1852.706178
101 clockwise 2 1.883879 2254.664048
102 clockwise 3 3.066797 2268.897656
103 clockwise 3 2.317238 2282.398670
104 clockwise 1 2.417074 2295.999005
105 clockwise 1 2.533544 2309.699320
106 clockwise 2 3.784058 2324.667138
107 clockwise 2 1.916651 2337.767283
108 clockwise 3 2.400257 2351.353003
109 clockwise 1 2.866496 2365.385618
110 clockwise 3 3.533343 2380.101787
111 clockwise 2 2.182946 2394.151731
112 clockwise 2 2.016977 2407.319388
113 clockwise 3 2.916935 2421.419808
114 clockwise 1 2.650213 2435.237482
115 clockwise 2 2.400479 2448.821884
116 clockwise 1 2.434514 2462.439821
117 clockwise 3 2.300677 2475.923753
118 clockwise 2 3.317288 2490.424622
119 clockwise 3 1.883611 2503.475136
120 clockwise 1 2.016695 2516.677275
