Experiment Began: Experiment Ended: 16:28:18

Total Trials = 120
Input Trial Order File: AudioVisCircMotionRatchet_TrialOrderList3.txt
In Phase Sound File: 10s_whiteNoiseBursts_In_Phase_250.wav
Out Phase Sound File: 10s_whiteNoiseBursts_Out_Phase_250.wav
Visual Movement Timing: 250 msec
Adaptor Time: 10 sec
ISI: 150 msec
ITI: 1 sec

Trial Rotation Sound RT ElapsedTime
001 counterClockwise 1 0.983684 11.167031
002 counterClockwise 1 0.800362 23.134330
003 counterClockwise 2 3.650297 37.951572
004 counterClockwise 1 2.200385 51.335824
005 counterClockwise 3 5.200964 67.720349
006 counterClockwise 3 3.435202 82.339209
007 counterClockwise 1 4.566902 98.089585
008 counterClockwise 3 7.116642 116.389143
009 counterClockwise 1 3.250448 130.823306
010 counterClockwise 2 4.450529 146.457405
011 counterClockwise 1 4.033426 211.358340
012 counterClockwise 2 6.900890 229.443179
013 counterClockwise 3 5.000424 245.626903
014 counterClockwise 2 5.850877 262.661289
015 counterClockwise 1 4.400762 278.245687
016 counterClockwise 3 3.217400 292.629956
017 counterClockwise 1 4.218878 308.015545
018 counterClockwise 3 3.917318 323.116020
019 counterClockwise 2 4.166632 338.465435
020 counterClockwise 1 3.350860 352.999906
021 counterClockwise 2 3.817416 369.234405
022 counterClockwise 3 6.334008 386.751956
023 counterClockwise 2 3.450586 401.385902
024 counterClockwise 3 2.699707 415.269360
025 counterClockwise 1 3.967362 430.420637
026 counterClockwise 2 4.733829 446.338214
027 counterClockwise 2 3.850658 461.355963
028 counterClockwise 3 3.551144 476.090465
029 counterClockwise 2 3.667126 490.924308
030 counterClockwise 3 4.116940 506.226732
031 counterClockwise 2 2.383494 531.792932
032 counterClockwise 2 1.983457 544.959327
033 counterClockwise 3 5.400090 561.542685
034 counterClockwise 1 3.183584 575.909898
035 counterClockwise 3 1.283295 588.377016
036 counterClockwise 2 6.150413 605.711235
037 counterClockwise 3 2.367102 619.262002
038 counterClockwise 1 4.150171 634.595702
039 counterClockwise 3 4.650769 650.430305
040 counterClockwise 1 4.050493 665.647648
041 counterClockwise 2 3.917328 688.600020
042 counterClockwise 3 3.033611 702.817050
043 counterClockwise 1 3.584980 717.585963
044 counterClockwise 2 3.533659 732.303439
045 counterClockwise 1 3.616104 747.085590
046 counterClockwise 3 4.583783 762.852886
047 counterClockwise 3 3.317140 777.353074
048 counterClockwise 1 6.100004 794.636446
049 counterClockwise 3 7.050734 812.871121
050 counterClockwise 3 6.066882 830.105132
051 counterClockwise 2 7.017283 855.123045
052 counterClockwise 1 7.451105 873.757887
053 counterClockwise 2 7.967822 892.892225
054 counterClockwise 2 4.617067 908.692447
055 counterClockwise 1 6.451098 926.310702
056 counterClockwise 1 2.318505 939.795989
057 counterClockwise 3 2.566802 953.529963
058 counterClockwise 2 3.749780 968.462367
059 counterClockwise 2 3.816762 983.462190
060 counterClockwise 1 3.050372 997.695997
061 counterClockwise 3 4.350178 1017.662975
062 counterClockwise 1 2.583618 1031.413972
063 counterClockwise 2 5.567122 1048.164751
064 counterClockwise 3 6.250280 1065.599078
065 counterClockwise 1 3.617259 1080.400252
066 counterClockwise 3 3.084077 1094.651051
067 counterClockwise 1 3.016811 1108.834428
068 counterClockwise 2 2.467123 1122.468861
069 counterClockwise 2 2.884457 1136.536893
070 counterClockwise 3 4.102569 1151.822457
071 counterClockwise 2 5.200088 1169.356010
072 counterClockwise 3 6.132936 1186.672342
073 counterClockwise 3 6.816646 1204.672291
074 counterClockwise 1 8.283684 1224.122947
075 counterClockwise 3 5.384112 1240.674213
076 counterClockwise 3 4.667357 1256.524895
077 counterClockwise 2 4.100067 1271.808955
078 counterClockwise 1 3.466846 1286.460346
079 counterClockwise 1 2.800131 1300.427158
080 counterClockwise 3 2.116752 1313.727529
081 counterClockwise 1 2.350312 1348.145475
082 counterClockwise 2 3.266851 1362.596377
083 counterClockwise 2 3.467155 1377.247237
084 counterClockwise 1 6.600412 1395.032539
085 counterClockwise 3 7.266662 1413.465600
086 counterClockwise 2 3.683516 1428.332097
087 counterClockwise 2 4.016662 1443.532176
088 counterClockwise 1 4.083571 1458.782767
089 counterClockwise 1 3.033369 1473.000078
090 counterClockwise 2 4.683993 1488.867842
091 counterClockwise 1 7.100318 1523.385232
092 counterClockwise 1 2.400621 1536.969599
093 counterClockwise 2 4.350751 1552.503869
094 counterClockwise 1 7.901336 1571.588469
095 counterClockwise 3 10.651201 1593.423244
096 counterClockwise 1 13.400430 1618.009008
097 counterClockwise 1 9.266614 1638.458694
098 counterClockwise 2 6.166808 1655.808604
099 counterClockwise 3 6.566771 1673.559235
100 counterClockwise 3 7.683697 1692.426688
101 counterClockwise 2 4.633938 1709.461128
102 counterClockwise 1 3.783820 1724.411656
103 counterClockwise 3 5.484112 1741.079372
104 counterClockwise 2 4.684137 1756.947029
105 counterClockwise 2 5.150843 1773.264462
106 counterClockwise 1 4.717665 1789.165483
107 counterClockwise 1 14.001050 1814.350001
108 counterClockwise 3 4.750288 1830.269188
109 counterClockwise 1 5.782991 1847.235090
110 counterClockwise 2 6.332898 1864.751336
111 counterClockwise 3 6.534118 1883.252556
112 counterClockwise 3 6.517009 1900.953572
113 counterClockwise 2 6.300474 1918.437837
114 counterClockwise 2 3.717035 1933.321941
115 counterClockwise 3 7.183504 1951.672392
116 counterClockwise 2 6.201392 1969.057516
117 counterClockwise 3 5.316954 1985.557866
118 counterClockwise 3 16.335374 2013.060562
119 counterClockwise 1 1.350950 2025.579883
120 counterClockwise 2 4.550263 2041.313011
