Experiment Began: Experiment Ended: 16:11:42

Total Trials = 120
Input Trial Order File: AudioVisCircMotionRatchet_TrialOrderList2.txt
In Phase Sound File: 10s_whiteNoiseBursts_In_Phase_250.wav
Out Phase Sound File: 10s_whiteNoiseBursts_Out_Phase_250.wav
Visual Movement Timing: 250 msec
Adaptor Time: 10 sec
ISI: 150 msec
ITI: 1 sec

Trial Rotation Sound RT ElapsedTime
001 counterClockwise 2 4.216757 14.417030
002 counterClockwise 1 4.617141 30.217848
003 counterClockwise 2 4.250868 45.652368
004 counterClockwise 1 4.017302 60.852864
005 counterClockwise 2 5.216976 77.252940
006 counterClockwise 3 2.383451 90.820186
007 counterClockwise 3 3.684453 105.688061
008 counterClockwise 2 4.233683 121.090139
009 counterClockwise 3 3.849882 136.122672
010 counterClockwise 1 2.767139 150.072725
011 counterClockwise 2 6.150453 265.491776
012 counterClockwise 1 5.368539 282.043830
013 counterClockwise 2 4.618756 297.845826
014 counterClockwise 1 6.050170 315.079270
015 counterClockwise 2 3.966988 330.228960
016 counterClockwise 1 2.200024 343.612526
017 counterClockwise 3 4.467419 359.263738
018 counterClockwise 1 4.767935 375.215087
019 counterClockwise 3 6.185668 392.567451
020 counterClockwise 3 3.633716 407.384337
021 counterClockwise 1 3.100390 473.987078
022 counterClockwise 3 5.266663 490.436410
023 counterClockwise 1 5.734277 507.354345
024 counterClockwise 3 4.483670 523.021115
025 counterClockwise 2 6.184953 540.389805
026 counterClockwise 2 3.533694 555.107060
027 counterClockwise 3 3.884786 570.158937
028 counterClockwise 2 3.967281 585.308853
029 counterClockwise 1 12.185764 608.678068
030 counterClockwise 3 2.749998 622.611614
031 counterClockwise 2 4.200703 725.046635
032 counterClockwise 3 4.300400 740.530460
033 counterClockwise 1 3.167141 754.881252
034 counterClockwise 2 5.834128 771.899355
035 counterClockwise 1 3.784914 786.867676
036 counterClockwise 2 3.866681 801.918052
037 counterClockwise 1 8.567780 821.651616
038 counterClockwise 3 4.100230 836.935607
039 counterClockwise 3 4.683975 852.803471
040 counterClockwise 2 3.966688 867.953909
041 counterClockwise 2 5.018009 919.905957
042 counterClockwise 3 2.483558 933.572846
043 counterClockwise 2 8.801924 953.541696
