Experiment Began: Experiment Ended: 15:19:14

Total Trials = 120
Input Trial Order File: AudioVisCircMotionRatchet_jitter_TrialOrderList8.txt
Sound File: 10ms_whiteNoiseBurst.wav
Visual Movement Timing: 250 msec
Adaptor Time: 10 sec
ISI: 150 msec
ITI: 1 sec

Trial Rotation Sound RT ElapsedTime
001 counterClockwise 4 4.599870 14.783316
002 counterClockwise 5 5.067234 31.034322
003 counterClockwise 5 5.153115 47.371055
004 counterClockwise 3 3.416300 61.970696
005 counterClockwise 4 5.799357 78.953242
006 counterClockwise 2 3.267115 93.403694
007 counterClockwise 3 4.817253 109.404437
008 counterClockwise 4 3.817391 124.405433
009 counterClockwise 4 4.816807 140.405765
010 counterClockwise 5 4.300369 155.889921
011 counterClockwise 5 4.034043 207.711896
012 counterClockwise 1 4.866260 223.760965
013 counterClockwise 4 3.766659 238.710267
014 counterClockwise 4 4.750768 254.627103
015 counterClockwise 2 4.133882 269.944186
016 counterClockwise 3 4.950250 286.045916
017 counterClockwise 2 2.966386 300.162972
018 counterClockwise 1 3.633380 314.946835
019 counterClockwise 5 3.100162 329.213939
020 counterClockwise 1 6.767015 347.131829
021 counterClockwise 3 3.182773 378.434195
022 counterClockwise 3 3.582941 393.199988
023 counterClockwise 1 4.150366 408.516673
024 counterClockwise 1 2.783495 422.483897
025 counterClockwise 5 7.083969 440.735028
026 counterClockwise 2 2.783468 454.702136
027 counterClockwise 2 4.484161 470.370239
028 counterClockwise 1 4.316854 485.870810
029 counterClockwise 2 6.783545 503.837886
030 counterClockwise 3 3.802952 518.807831
031 counterClockwise 3 5.149655 536.224551
032 counterClockwise 5 4.832352 552.239624
033 counterClockwise 3 4.050081 567.473140
034 counterClockwise 2 3.217562 581.857745
035 counterClockwise 1 4.083791 597.108282
036 counterClockwise 4 5.184156 613.476137
037 counterClockwise 5 4.000377 628.659761
038 counterClockwise 3 5.917484 645.761002
039 counterClockwise 5 3.817154 660.762036
040 counterClockwise 3 3.269762 675.215314
041 counterClockwise 1 4.066471 691.714863
042 counterClockwise 2 3.316245 706.213634
043 counterClockwise 4 3.433364 720.830413
044 counterClockwise 4 3.617163 735.631344
045 counterClockwise 1 5.183993 751.998789
046 counterClockwise 4 4.133683 767.315988
047 counterClockwise 2 3.167024 781.666374
048 counterClockwise 1 4.533855 797.383931
049 counterClockwise 1 3.483711 812.051349
050 counterClockwise 5 3.986623 827.221501
051 counterClockwise 1 4.115952 844.871333
052 counterClockwise 2 3.749460 859.803929
053 counterClockwise 3 3.500184 874.486976
054 counterClockwise 2 3.400867 889.071383
055 counterClockwise 5 4.667296 904.922469
056 counterClockwise 3 3.800119 919.906372
057 counterClockwise 4 3.384067 934.474337
058 counterClockwise 5 3.767252 949.425003
059 counterClockwise 4 4.050417 964.642111
060 counterClockwise 2 3.186233 979.012414
061 counterClockwise 5 5.216132 996.378671
062 counterClockwise 5 11.099073 1018.660651
063 counterClockwise 3 4.533729 1034.361249
064 counterClockwise 3 6.934347 1052.479336
065 counterClockwise 2 4.266953 1067.929896
066 counterClockwise 4 5.717588 1084.830819
067 counterClockwise 1 4.384031 1100.382124
068 counterClockwise 5 6.583821 1118.149697
069 counterClockwise 5 5.567016 1134.902977
070 counterClockwise 1 3.799148 1149.885443
071 counterClockwise 2 3.367106 1236.186790
072 counterClockwise 2 3.750810 1251.120839
073 counterClockwise 4 5.216808 1267.504673
074 counterClockwise 4 6.400562 1285.088824
075 counterClockwise 1 4.370042 1300.642749
076 counterClockwise 4 3.849721 1315.675284
077 counterClockwise 4 3.816399 1330.674475
078 counterClockwise 5 8.817030 1350.674643
079 counterClockwise 1 5.267232 1367.125896
080 counterClockwise 3 5.050460 1383.359919
081 counterClockwise 3 4.833927 1400.260634
082 counterClockwise 2 4.016994 1415.461223
083 counterClockwise 3 4.917354 1431.562220
084 counterClockwise 4 3.866981 1446.612734
085 counterClockwise 2 4.067255 1461.849572
086 counterClockwise 3 4.083120 1477.115008
087 counterClockwise 5 4.751366 1493.032649
088 counterClockwise 1 5.600509 1509.816712
089 counterClockwise 2 3.533755 1524.534080
090 counterClockwise 1 4.566686 1540.284347
091 counterClockwise 5 3.717021 1556.018589
092 counterClockwise 2 4.267123 1571.469067
093 counterClockwise 2 3.900276 1586.553046
094 counterClockwise 3 4.786814 1602.506867
095 counterClockwise 2 4.082879 1617.772760
096 counterClockwise 4 5.083160 1634.038351
097 counterClockwise 1 4.233786 1649.439313
098 counterClockwise 2 3.267292 1663.890280
099 counterClockwise 5 3.934082 1678.991116
100 counterClockwise 5 3.333329 1693.508133
101 counterClockwise 4 3.116954 1710.142197
102 counterClockwise 1 3.300550 1724.626605
103 counterClockwise 3 4.366785 1740.176666
104 counterClockwise 1 3.686206 1755.046606
105 counterClockwise 5 4.499412 1770.729849
106 counterClockwise 3 3.883451 1785.795964
107 counterClockwise 1 4.050458 1801.029240
108 counterClockwise 4 4.100347 1816.313216
109 counterClockwise 5 3.550612 1831.047483
110 counterClockwise 4 3.350163 1845.581076
111 counterClockwise 5 4.216665 1868.948372
112 counterClockwise 3 3.167084 1883.282523
113 counterClockwise 3 11.567369 1906.033445
114 counterClockwise 2 4.633947 1921.853606
115 counterClockwise 1 6.232561 1939.268904
116 counterClockwise 1 6.382330 1956.834559
117 counterClockwise 4 6.400704 1974.419038
118 counterClockwise 4 3.967029 1989.569313
119 counterClockwise 2 4.250566 2005.003672
120 counterClockwise 3 4.233714 2020.404055
