Experiment Began: Experiment Ended: 17:14:01

Total Trials = 120
Input Trial Order File: AudioVisCircMotionRatchet_jitter_TrialOrderList9.txt
Sound File: 10ms_whiteNoiseBurst.wav
Visual Movement Timing: 250 msec
Adaptor Time: 10 sec
ISI: 150 msec
ITI: 1 sec

Trial Rotation Sound RT ElapsedTime
001 clockwise 5 5.384226 15.567661
002 clockwise 3 6.384029 33.118062
003 clockwise 1 6.384631 50.686096
004 clockwise 2 3.267053 65.136534
005 clockwise 4 3.683785 80.003534
006 clockwise 1 5.369968 96.557045
007 clockwise 3 3.267166 111.007128
008 clockwise 5 5.116209 127.306225
009 clockwise 5 4.733504 143.222719
010 clockwise 4 3.600489 158.006295
011 clockwise 1 3.317381 175.723612
012 clockwise 1 3.167560 190.074464
013 clockwise 3 3.833750 205.091192
014 clockwise 1 4.617229 220.875282
015 clockwise 2 4.050154 236.092494
016 clockwise 3 6.033613 253.309847
017 clockwise 5 4.402804 268.896266
018 clockwise 4 3.366526 283.429766
019 clockwise 2 4.350004 298.962123
020 clockwise 3 3.216827 313.361583
021 clockwise 2 6.900788 339.229702
022 clockwise 4 4.717260 355.130584
023 clockwise 5 4.133453 370.430794
024 clockwise 2 3.650756 385.264559
025 clockwise 5 5.100640 401.548892
026 clockwise 4 6.867533 419.582817
027 clockwise 4 3.537046 434.303187
028 clockwise 1 4.967321 450.452724
029 clockwise 2 4.467212 466.101717
030 clockwise 3 4.817272 482.085210
031 clockwise 2 4.351063 509.219467
032 clockwise 2 5.317563 525.720251
033 clockwise 5 4.200414 541.087609
034 clockwise 5 4.500226 556.771806
035 clockwise 4 2.483476 570.438806
036 clockwise 4 3.633737 585.256210
037 clockwise 1 2.200675 598.625922
038 clockwise 3 5.450762 615.259081
039 clockwise 3 3.801043 630.208329
040 clockwise 1 5.917448 647.324738
041 clockwise 2 3.933859 663.175301
042 clockwise 2 5.834433 680.192846
043 clockwise 5 4.867069 696.243483
044 clockwise 5 5.100690 712.527919
045 clockwise 1 4.817411 728.511767
046 clockwise 4 4.300969 743.995620
047 clockwise 2 6.186812 761.365369
048 clockwise 4 3.367282 775.915312
049 clockwise 5 3.299607 790.397714
050 clockwise 3 3.433917 805.013865
051 clockwise 4 7.184511 827.181780
052 clockwise 1 2.400705 840.765539
053 clockwise 2 3.383876 855.332743
054 clockwise 3 2.901026 869.400191
055 clockwise 5 3.950251 884.517104
056 clockwise 3 3.467379 899.167753
057 clockwise 4 3.533877 913.884368
058 clockwise 1 3.736941 928.787945
059 clockwise 1 3.416800 943.387877
060 clockwise 3 3.434300 958.004156
061 clockwise 2 4.817557 988.720638
062 clockwise 4 4.117392 1004.021182
063 clockwise 3 9.334624 1024.538969
064 clockwise 5 4.083408 1039.805943
065 clockwise 4 7.117574 1058.106720
066 clockwise 5 6.250253 1075.541045
067 clockwise 2 4.053190 1090.777557
068 clockwise 1 6.667184 1108.627701
069 clockwise 3 4.350928 1124.160328
070 clockwise 2 2.917150 1138.259712
071 clockwise 4 4.250997 1161.127465
072 clockwise 1 3.567276 1175.860885
073 clockwise 3 11.050845 1198.094855
074 clockwise 5 4.750381 1214.029134
075 clockwise 1 3.751061 1228.963693
076 clockwise 5 4.817026 1244.964234
077 clockwise 1 7.000791 1263.150964
078 clockwise 2 6.867463 1281.200519
079 clockwise 4 7.184222 1299.566160
080 clockwise 3 4.500753 1315.249888
081 clockwise 1 4.183999 1332.433631
082 clockwise 3 3.133936 1346.750715
083 clockwise 2 3.700572 1361.617747
084 clockwise 3 2.617241 1375.417891
085 clockwise 5 3.733506 1390.335012
086 clockwise 2 2.684014 1404.202315
087 clockwise 1 4.150511 1419.519632
088 clockwise 4 3.786788 1434.472923
089 clockwise 5 6.100184 1451.756460
090 clockwise 4 3.683584 1466.621487
091 clockwise 2 2.517710 1494.022827
092 clockwise 3 5.800760 1511.006246
093 clockwise 2 1.134158 1523.323576
094 clockwise 3 7.484071 1541.990302
095 clockwise 3 5.284303 1558.440946
096 clockwise 5 4.534157 1574.158501
097 clockwise 4 5.550675 1590.892030
098 clockwise 2 3.770114 1605.845553
099 clockwise 4 3.833837 1620.861916
100 clockwise 1 4.367739 1636.411501
101 clockwise 2 4.383804 1655.477167
102 clockwise 3 2.683749 1669.344106
103 clockwise 2 2.317308 1682.844659
104 clockwise 4 4.984649 1699.012388
105 clockwise 5 5.717251 1715.913042
106 clockwise 4 4.284023 1731.363169
107 clockwise 1 5.217407 1747.763853
108 clockwise 3 5.984404 1764.931291
109 clockwise 5 6.036430 1782.151557
110 clockwise 1 2.667410 1796.000985
111 clockwise 5 3.282928 1811.416634
112 clockwise 2 7.150621 1829.749789
113 clockwise 4 7.901406 1848.834399
114 clockwise 5 5.700291 1865.701792
115 clockwise 3 5.267632 1882.152610
116 clockwise 1 1.883923 1895.219197
117 clockwise 5 6.283800 1912.686670
118 clockwise 1 5.167469 1929.037096
119 clockwise 4 3.717061 1943.937269
120 clockwise 1 3.434527 1958.557572
